text,rows,predicted,confidence,example_name
hum cmd,9,dischargeHumidity,0.937211811542511,HumCmd
dehum mode,9,dehumidifier,0.9963552951812744,DehumMode
udr flr prs,9,unitFilterAlarm,0.6362527012825012,UdrFlrPrs
pri cw,8,condEnteringTemp,0.9689942002296448,PriCW1
cwr tmp,8,evapEnteringTemp,0.8229056596755981,CWRTmp
chlr cw iso vlv cmd,7,coolingValve,0.8854920268058777,Chlr2CWIsoVlvCmd
chlr cd pmp sts,7,coolingValveFb,0.9423045516014099,Chlr2CdPmp3Sts
chlr cw iso vlv pos,7,coolingValveFb,0.9915505647659302,Chlr2CWIsoVlvPos
chlr pri chw pmp sts,7,evapPumpStatus,0.9976951479911804,Chlr2PriCHWPmp2Sts
chlr ev lvg tmp,7,evapLeavingTemp,0.9544539451599121,Chlr2EvLvgTmp
chlr cd pmp cmd,7,coldDeckDamper,0.9230416417121887,Chlr2CdPmp3Cmd
chlr cw flw rat,7,condEnteringFlow,0.9944954514503479,Chlr2CWFlwRat
pri flw,7,dischargeFlow,0.9986258745193481,PriFlw
chlr cd lvg tmp,7,evapEnteringTemp,0.48484668135643005,Chlr2CdLvgTmp
ct bvfd out,6,condPump,0.9959180951118469,CT1BVFDOut
cwr vlv cmd,6,coolingValve,0.9986531734466553,CWRVlv11_1200Cmd
hw pmp vfd out,6,heatingCoilPump,0.9924821257591248,HWPmp4VFDOut
ct b fan ss,6,dischargeFan,0.47825145721435547,CT1BFanSS
ct a fan ss,6,dischargeFan,0.9972621202468872,CT1AFanSS
ct avfd out,6,dischargeTempFault,0.4183115065097809,CT1AVFDOut
cws vlv cmd,6,coolingValve,0.9470505118370056,CWSVlv11_1200Cmd
ph wtr pmp sts,6,evapPumpStatus,0.9976285099983215,PHWtrPmp1Sts
blr iso vlv,6,dischargeIsoDamper,0.9837930798530579,Blr1IsoVlv
udr flr prs sp,6,evapEnteringTemp,0.4075584411621094,UdrFlrPrsSp
sec chw pmp vfd out,6,evapPumpStatus,0.7293543815612793,SecCHWPmp5VFDOut
eff pri flw sp,5,returnFlowSp,0.9590360522270203,EffPriFlwSp
oa dmp sts,5,outsideDamper,0.8115958571434021,OADmpSts
econ dmp cmd,5,econEnable,0.5892392992973328,EconDmpCmd
eff vent flw sp,5,returnFlowSp,0.983228325843811,EffVentFlwSp
econ dmp pos,5,bypassDamperFb,0.8480762243270874,EconDmpPos
vent dmp ovrd cmd,5,dischargeDamperOvr,0.7418348789215088,VentDmpOvrdCmd
cws tmp sp,5,condLeavingTemp,0.7321800589561462,CWSTmpSp
ra enth,5,dischargeEnthalpy,0.5131048560142517,RAEnth
efbs ef cmd,4,exhaustFanEnable,0.570263147354126,EFBS1_EFCmd
sys blr lw tmp,4,heatingCoilLeavingTemp,0.9988908171653748,Sys5_BlrLWTmp
sys hw rst h,4,heatingCoilEnteringTemp,0.9869088530540466,Sys5_HWRstH
sys blr ew tmp,4,heatingCoilEnteringTemp,0.9780851602554321,Sys5_BlrEWTmp
sys sys hw diff prs,4,heatingCoilLeavingTemp,0.5817862749099731,Sys5_SysHWDiffPrs
chl chlr ena,4,coolingValve,0.7422263622283936,CHL01_ChlrEna
sys sys enable,4,coolingStatus,0.9508422613143921,Sys5_SysEnable
sys sys hw byp vlv pos,4,heatingValveFb,0.8827612400054932,Sys5_SysHWBypVlvPos
sys sys hw byp vlv cmd,4,condBypassValve,0.6562653183937073,Sys5_SysHWBypVlvCmd
rm rel humd,4,zoneHumidity,0.5537001490592957,RmRelHumd
pri chw sts,4,coolingStatus,0.9967908263206482,PriCHW1Sts
cwp cw pmp sts,4,condPumpSpeedFb,0.4571196436882019,CWP12_CWPmpSts
cwp cw pmp cmd,4,condPump,0.9985872507095337,CWP12_CWPmpCmd
cw iso vlv cmd,4,dischargeIsoDamper,0.6379939317703247,CWIsoVlvCmd
sys pb spd cmd,4,condPumpSpeed,0.995513379573822,Sys5_PBSpdCmd
sys sys diff prs sp,4,zonePressureSp,0.7161449790000916,Sys5_SysDiffPrsSp
sys hw rst l,4,heatingCoilEnteringTemp,0.9927836656570435,Sys5_HWRstL
sys sys hwr tmp,4,heatingCoilEnteringTemp,0.8152186274528503,Sys5_SysHWRTmp
sys pb cmd,4,condPump,0.9355648159980774,Sys5_PBCmd
rlf dmp cmd,4,dischargeDamper,0.9769277572631836,RLFDmpCmd
chl chlr sts,4,coolingStatus,0.6835293769836426,CHL01_ChlrSts
sys hw sw tmp sp,4,heatingCoilLeavingTemp,0.9824381470680237,Sys5_HWSwTmpSp
sys pb sts,4,compStatus,0.32220757007598877,Sys5_PBSts
sys pa sts,4,dischargeFanStatus,0.7106012105941772,Sys5_PASts
sys pa spd cmd,4,condPumpSpeed,0.7238165140151978,Sys5_PASpdCmd
sys pa cmd,4,dischargeFan,0.9653934836387634,Sys5_PACmd
sys oa tmp ena,4,outsideTempFault,0.6888408064842224,Sys5_OATmpEna
sys oa rst l,4,dischargeFanFaultReset,0.7109930515289307,Sys5_OARstL
sys oa rst h,4,dischargeFanFaultReset,0.8529156446456909,Sys5_OARstH
hx cwp cmd,3,heatingCoilPump,0.7452722191810608,HX1CWP1Cmd
cwr,3,condEnteringTemp,0.9964097142219543,CWR
hx chwp cmd,3,evapPumpEnable,0.9894824028015137,HX1CHWP1Cmd
hx cwp sts,3,heatingCoilPumpStatus,0.9977779984474182,HX1CWP1Sts
cwp sts,3,dischargeDamperFb,0.31288760900497437,CWP1Sts
dif prs sp,3,dischargePressureLoSp,0.33014747500419617,DifPrsSp
hx chwp sts,3,heatingCoilPumpStatus,0.8399896621704102,HX1CHWP1Sts
shw pmp,3,evapPumpEnable,0.6965333819389343,SHWPmp4
phc vlv cmd,3,coolingValve,0.7399308085441589,PHCVlvCmd
chlr cws tmp,3,condLeavingTemp,0.7580511569976807,Chlr1CWSTmp
chlr run,3,chillerStatus,0.9907985925674438,Chlr1Run
chlr chw iso vlv,3,coolingValveFb,0.36167585849761963,Chlr1CHWIsoVlv
chwr,3,evapEnteringFlow,0.8183630704879761,CHWR
phcp cmd,3,condPump,0.42997774481773376,PHCPCmd
chw dif prs,3,coolingValve,0.9692376255989075,CHWDifPrs1
phcp sts,3,compStatus,0.7542977333068848,PHCPSts
chw iso vlv,3,dischargeIsoDamper,0.9802606701850891,CHWIsoVlv
chws,3,evapLeavingTemp,0.8753722310066223,CHWS
ph wtr pmp cmd,3,evapPumpEnable,0.9958565831184387,PHWtrPmp1Cmd
ph wtr pmp,3,evapPumpStatus,0.7940256595611572,PHWtrPmp1
hw pmp pr hw pmp cmd,3,heatingCoilPump,0.9985635876655579,HWPmp1_PrHWPmpCmd
iso vlv cmd,3,dischargeIsoDamper,0.9988419413566589,IsoVlvCmd
ctf ct fan ena,3,returnFan,0.4210994839668274,CTF11_CTFanEna
ct ctf sts,3,condStatus,0.9547173976898193,CT11_CTFSts
eq vlv cmd,3,coolingValve,0.6927004456520081,EqVlv11Cmd
sts,3,unitStatus,0.9982215762138367,Sts
ct ctf spd,3,condPumpRuntime,0.44672057032585144,CT11_CTFSpd
ct ctf cmd,3,condPump,0.5045322179794312,CT11_CTFCmd
cws,3,condEnteringTemp,0.8200874328613281,CWS
ch chw iso vlv cmd,2,coolingValve,0.33578944206237793,CH1CHWIsoVlvCmd
blr th fl co,2,zoneCO2Alarm,0.5457836985588074,Blr4thFlCO
cc vlv sp,2,condPumpSpeed,0.3727422058582306,CCVlvSp
ch cw iso vlv cmd,2,coolingValve,0.719886839389801,CH1CWIsoVlvCmd
chiller capacity,2,chillerEnable,0.9020592570304871,ChillerCapacity
ch cmd,2,coolingValve,0.6153041124343872,CH1Cmd
ch cw iso hx vlv cmd,2,coolingValveFb,0.6932465434074402,CH1CWIsoHxVlvCmd
wh ent tmp,2,evapEnteringTemp,0.6398547291755676,WhEntTmp
chlr cw pmp sts,2,coolingValveFb,0.6061339974403381,Chlr1CWPmpSts
wh lvg tmp,2,wheelReturnTemp,0.9865326881408691,WhLvgTmp
ct fan spd,2,dischargeFanSpeed,0.997972309589386,CT1FanSpd
rfb cmd,2,returnFan,0.9965972304344177,RFBCmd
ct flw,2,condEnteringFlow,0.9802113771438599,CT1Flw
run,2,current,0.4602524936199188,Run
rfa cmd,2,returnFan,0.9600610136985779,RFACmd
rm int dmp out,2,condLeavingFlow,0.4964666962623596,RmIntDmpOut
rlf cmd,2,returnFan,0.6355587840080261,RLFCmd
rlf dmp sts,2,dischargeDamperFb,0.7508969306945801,RLFDmpSts
rlf f cmd,2,returnFan,0.9952701926231384,RlfFCmd
liquid line press,2,airPressure,0.9345687627792358,LiquidLinePress
liquid line temp,2,heatingCoilEnteringTemp,0.4431547224521637,LiquidLineTemp
ct nzl vlv cmd,2,coolingValve,0.9911963939666748,CT1NzlVlvCmd
ct sts,2,condStatus,0.9689396023750305,CT1Sts
hx iso vlv sts,2,heatingCoilPumpStatus,0.8706748485565186,HXIsoVlvSts
hxchws tmp,2,evapLeavingTemp,0.997066080570221,HXCHWSTmp
hxchws vlv out,2,evapLeavingTemp,0.6991056799888611,HXCHWSVlvOut
kilowatts,2,current,0.7905717492103577,Kilowatts
cond water flow status,2,condLeavingFlow,0.9989020824432373,CondWaterFlowStatus
rlf f sts,2,returnFanStatus,0.9269345998764038,RlfFSts
cond pressure,2,condEnteringTemp,0.5513740181922913,CondPressure
cond sat temp,2,condLeavingTemp,0.9983183145523071,CondSatTemp
rlf sts,2,exhaustFanStatus,0.4254213869571686,RLFSts
ea tmp lvg,2,condLeavingTemp,0.9121124744415283,EATmpLvg
ea tmp,2,dischargeTemp,0.6887098550796509,EATmp
hx iso vlv cmd,2,dischargeIsoDamper,0.7136279940605164,HXIsoVlv2Cmd
htg vlv out,2,heatingValveFb,0.7579867839813232,HtgVlvOut
gly r tmp,2,evapEnteringTemp,0.9867249727249146,GlyRTmp
eff dis tmp sp,2,dischargeTempSp,0.971120297908783,EffDisTmpSp
ea vol,2,dischargeFlow,0.9875267148017883,EAVol
hw sup gpm,2,heatingCoilLeavingTemp,0.9928800463676453,HWSupGPM
hwp sec hw pmp cmd,2,heatingCoilPump,0.998554527759552,HWP1_SecHWPmpCmd
hwp sec hw pmp spd,2,heatingCoilPump,0.9055768251419067,HWP1_SecHWPmpSpd
evap water flow status,2,coolingValveFb,0.6795701384544373,EvapWaterFlowStatus
delta prs,2,zonePressure,0.42905306816101074,DeltaPrs
ea prs sp,2,zonePressureMinSp,0.32863470911979675,EAPrsSp
evap pressure,2,evapPumpEnable,0.9106754660606384,EvapPressure
evap sat temp,2,evapLeavingTemp,0.9982942938804626,EvapSatTemp
suction temp,2,heatingCoilEnteringTemp,0.3064184784889221,SuctionTemp
efg cmd,2,exhaustFanEnable,0.9949823021888733,EFG13Cmd
wh min spd,2,dischargeFanSpeedSp,0.8497912287712097,WhMinSpd
wtr smr mode,2,freezeProtect,0.9948570728302002,WtrSmrMode
bldg hwrt,1,heatingCoilEnteringTemp,0.9972745776176453,BldgHWRT
zn tmp ef,1,heatingCoilEnteringTemp,0.5551367402076721,ZnTmpEF10
bldg chws tmp,1,evapLeavingTemp,0.9987689852714539,BldgCHWSTmp
zn co2 sp,1,zoneCO2HiSp,0.9852781891822815,ZnCO2Sp
whl ena,1,wheelRuntime,0.4049918055534363,WhlEna
system ena,1,chillerEnable,0.49863332509994507,SYSTEMEna
bldg hw flw tot,1,heatingCoilEnteringTemp,0.94736647605896,BldgHWFlwTot
zn tmp snsr,1,zoneTemp,0.9986732006072998,ZnTmpSnsr
st prs,1,dischargePressure,0.8944433927536011,StPrs
efg sts,1,exhaustFanStatus,0.9988133907318115,EFG4Sts
ct e bsn htr cmd,1,heatingEnable,0.33447539806365967,CT1EBsnHtrCmd
ct df sts,1,condStatus,0.3360446095466614,CT1DFSts
ct df spd,1,dischargeFanSpeedFb,0.8323490023612976,CT1DFSpd
ct df cmd,1,condPump,0.821241021156311,CT1DFCmd
ct dcws tmp sp,1,condLeavingTemp,0.8988063335418701,CT1DCWSTmpSp
ct dcws temp,1,condLeavingTemp,0.9976657629013062,CT1DCWSTemp
ct d sys ena,1,chillerEnable,0.7509685754776001,CT1DSysEna
ct d byp vlv cmd,1,condBypassValve,0.9985309839248657,CT1DBypVlvCmd
ct d bsn htr cmd,1,buildingPressure,0.6952680349349976,CT1DBsnHtrCmd
ct bcws tmp sp,1,dischargeTempCoolMinSp,0.2964516580104828,CT1BCWSTmpSp
ct bcws temp,1,heatingCoilLeavingTemp,0.9927331209182739,CT1BCWSTemp
ct b sys ena,1,buildingPressure,0.7200259566307068,CT1BSysEna
ct b bsn htr cmd,1,buildingPressure,0.6353132128715515,CT1BBsnHtrCmd
hw flow,1,heatingCoilEnteringTemp,0.698579728603363,HWFlow
hplw tmp,1,heatingCoilLeavingTemp,0.9752777814865112,HPLWTmp
hpc sts,1,unitStatus,0.8286052942276001,HPCSts
hpc hws tmp sp,1,heatingCoilLeavingTemp,0.8087478876113892,HPC_HWSTmpSp
hpc ena,1,boilerEnable,0.6615771055221558,HPCEna
free clg sys,1,coolingValve,0.35748741030693054,FreeClgSys
ct cmd,1,cond,0.5376819372177124,CT1Cmd
ct cf sts,1,condStatus,0.7568668127059937,CT1CFSts
ct cf spd,1,zoneDCVReqCount,0.26275625824928284,CT1CFSpd
ct cf cmd,1,condBypassFlowSp,0.38260042667388916,CT1CFCmd
ef zn tmp sp,1,zoneTemp,0.46993058919906616,EFZnTmpSp
ef decon cmd,1,exhaustDamperOvr,0.5027492642402649,EF9_DeconCmd
ef b sts,1,exhaustFanStatus,0.9618579149246216,EF6BSts
ef b cmd,1,buildingPressure,0.43200433254241943,EF6BCmd
ef a sts,1,exhaustFanStatus,0.9949504137039185,EF6ASts
ef a cmd,1,exhaustFanEnable,0.9659757614135742,EF6ACmd
hws enable,1,heatingCoilLeavingTemp,0.5060544013977051,HWSEnable
hwp spd cmd,1,condPumpSpeed,0.9971213936805725,HWP5SpdCmd
ct ccws tmp sp,1,condLeavingTemp,0.8793152570724487,CT1CCWSTmpSp
ct ccws temp,1,condLeavingTemp,0.946397066116333,CT1CCWSTemp
ct c sys ena,1,coolingEnable,0.5028165578842163,CT1CSysEna
ct c byp vlv cmd,1,condBypassValve,0.9989781379699707,CT1CBypVlvCmd
ct c bsn htr cmd,1,buildingPressure,0.6455289125442505,CT1CBsnHtrCmd
ct byp vlv cmd,1,condBypassValve,0.9989579916000366,CTBypVlvCmd
ct bsn htr sts,1,heatingStatus,0.8676305413246155,CT1BsnHtrSts
ct bf sts,1,condStatus,0.9833501577377319,CT1BFSts
ct bf spd,1,condPumpSpeedFb,0.7053290605545044,CT1BFSpd
ct lcws tmp sp,1,condLeavingTemp,0.9558722972869873,CT1LCWSTmpSp
ea sts prs,1,exhaustFanStatus,0.5452370047569275,EAStsPrs
ea st prs,1,airPressure,0.5770900249481201,EAStPrs
duct st prs,1,dischargePressure,0.6980215311050415,DuctStPrs
dif prs,1,airPressure,0.4683803617954254,DifPrs
cws prs,1,condEnteringTemp,0.9919962286949158,CWSPrs
ct bf cmd,1,condPump,0.8681595325469971,CT1BFCmd
hx bcw iso vlv cmd,1,dischargeIsoDamper,0.9887552857398987,HX1BCWIsoVlvCmd
hx bchw iso vlv cmd,1,dischargeIsoDamper,0.7574313282966614,HX1BCHWIsoVlvCmd
hx b hot chws tmp,1,evapLeavingTemp,0.9034916162490845,HX1BHotCHWSTmp
hx b hot chwr tmp,1,evapEnteringTemp,0.9051705002784729,HX1BHotCHWRTmp
hx b cold cws tmp,1,heatingCoilLeavingTemp,0.7910359501838684,HX1BColdCWSTmp
hx b cold cwr tmp,1,heatingCoilEnteringTemp,0.4833832085132599,HX1BColdCWRTmp
hx acw iso vlv cmd,1,dischargeIsoDamper,0.9978246688842773,HX1ACWIsoVlvCmd
hx achw iso vlv cmd,1,dischargeIsoDamper,0.9597111940383911,HX1ACHWIsoVlvCmd
hx a hot chws tmp,1,evapLeavingTemp,0.8053670525550842,HX1AHotCHWSTmp
hx a hot chwr tmp,1,evapEnteringTemp,0.9273183345794678,HX1AHotCHWRTmp
hx a cold cws tmp,1,heatingCoilLeavingTemp,0.9255291819572449,HX1AColdCWSTmp
hx a cold cwr tmp,1,heatingCoilEnteringTemp,0.49011480808258057,HX1AColdCWRTmp
hws tmp sp,1,heatingCoilLeavingTemp,0.9172574281692505,HWSTmpSp
hws flow,1,heatingCoilLeavingTemp,0.8924752473831177,HWSFlow
hx hot chws tmp,1,heatingCoilLeavingTemp,0.5909409523010254,HXHotCHWSTmp
hx hot chwr tmp,1,evapEnteringTemp,0.5538302063941956,HXHotCHWRTmp
hx flw sp,1,dischargeFlowCoolMaxSp,0.8633514642715454,HXFlwSp
hx cws tmp,1,heatingCoilLeavingTemp,0.5328792333602905,HxCWSTmp
hx cws prs,1,coldDeckDischargePressure,0.9952367544174194,HxCWSPrs
hx cwr tmp,1,evapEnteringTemp,0.9141911864280701,HxCWRTmp
hx cwr prs,1,coldDeckDischargePressure,0.8302302956581116,HxCWRPrs
hx cw iso vlv cmd,1,steamValve,0.4356006681919098,HX1CWIsoVlvCmd
hx cw flw,1,condLeavingFlow,0.9472742676734924,HxCWFlw
hx cold cws tmp,1,heatingCoilLeavingTemp,0.7112924456596375,HXColdCWSTmp
hx cold cwr tmp,1,heatingCoilEnteringTemp,0.8330416679382324,HXColdCWRTmp
hx chws tmp,1,evapLeavingTemp,0.9989864230155945,HxCHWSTmp
ct jcws temp,1,condLeavingTemp,0.9893723130226135,CT1JCWSTemp
cwr prs,1,condEnteringTemp,0.9838376641273499,CWRPrs
cwp spd,1,condPumpSpeed,0.9931208491325378,CWP3Spd
ct recirculation vlv cmd,1,coolingValve,0.9655202627182007,CT2RecirculationVlvCmd
ct lf sts,1,condLeavingTemp,0.9148239493370056,CT1LFSts
ct lf spd,1,zoneCoolSp,0.5075121521949768,CT1LFSpd
ct lf cmd,1,coolingEnable,0.881117045879364,CT1LFCmd
hx chws prs,1,evapLeavingTemp,0.9944306015968323,HxCHWSPrs
clg vlv out,1,coolingValve,0.996833860874176,ClgVlvOut
m2 flt dmp cmd,1,coldDeckDamper,0.29931578040122986,M2FltDmpCmd
lvg air tmp sp,1,dischargeTempHeatSp,0.5854395627975464,LvgAirTmpSp
loop diff prs sp,1,zonePressureSp,0.7172797918319702,LoopDiffPrsSp
loop diff prs,1,zoneHumidity,0.2514258921146393,LoopDiffPrs
judges pkng co lvl,1,zoneCO,0.9627882838249207,JudgesPkngCOLvl
hx sp,1,zoneTempHeatDb,0.6533852219581604,HXSp
hx pmp spd,1,heatingCoilPump,0.7282800674438477,HxPmpSpd
hx pmp cmd,1,heatingCoilPump,0.9988462924957275,HxPmpCmd
min co lvl,1,zoneLightLevelMinSp,0.8361219167709351,MinCOLvl
max co lvl,1,currentPhaseCMax,0.6754369735717773,MaxCOLvl
m3 decon dmp cmd,1,coldDeckDamper,0.9113080501556396,M3DeconDmpCmd
ct af sts,1,unitStatus,0.6419936418533325,CT1AFSts
ct af spd,1,dischargeFanSpeed,0.8905624747276306,CT1AFSpd
ct af cmd,1,condAlarm,0.5350494980812073,CT1AFCmd
ct acws tmp sp,1,condLeavingTemp,0.6100948452949524,CT1ACWSTmpSp
ct a sys ena,1,chillerStatus,0.5577151775360107,CT1ASysEna
ct a bsn htr cmd,1,heatingEnable,0.9577221870422363,CT1ABsnHtrCmd
co2 sp,1,zoneCO2HiSp,0.9846209287643433,CO2Sp
co2 lvl sp,1,zoneCO2HiSp,0.9950202703475952,CO2LvlSp
p12 a sts,1,zonePM1,0.6238412261009216,P12ASts
p12 a spd cmd,1,condPumpSpeedSp,0.597468912601471,P12ASpdCmd
p12 a cmd,1,dischargePressure,0.34654098749160767,P12ACmd
p11 b sts,1,bypassPressure,0.41749677062034607,P11BSts
p11 b spd cmd,1,dischargeSmokeDamper,0.38303062319755554,P11BSpdCmd
p11 b cmd,1,buildingPressure,0.9934095144271851,P11BCmd
p11 a sts,1,bypassPressure,0.5617864727973938,P11ASts
p11 a spd cmd,1,condPumpSpeed,0.3419019877910614,P11ASpdCmd
p11 a cmd,1,wheelStatus,0.3569277822971344,P11ACmd
oaf cmd,1,wheelOutsideFanSpeed,0.964247465133667,OAFCmd
oa tmp new,1,outsideTemp,0.9978147745132446,OATmpNew
oa max vol,1,minOutsideFlowSp,0.3997292220592499,OAMaxVol
oa flw,1,minOutsideFlow,0.9098283052444458,OAFlw
oa dmpr cmd,1,outsideDamper,0.9946148991584778,OADmprCmd
ct hcws tmp sp,1,heatingCoilLeavingTemp,0.4033452272415161,CT1HCWSTmpSp
ct l sys ena,1,condLeavingTemp,0.5419265031814575,CT1LSysEna
ct l byp vlv cmd,1,condBypassValve,0.9969156980514526,CT1LBypVlvCmd
ct l bsn htr cmd,1,heatingEnable,0.985171914100647,CT1LBsnHtrCmd
ct kf sts,1,kFactor,0.7896481156349182,CT1KFSts
ct kf spd,1,kFactor,0.5938367247581482,CT1KFSpd
ct kf cmd,1,kFactor,0.9893504977226257,CT1KFCmd
ct kcws tmp sp,1,condLeavingTemp,0.9989349246025085,CT1KCWSTmpSp
ct kcws temp,1,condLeavingTemp,0.9864701628684998,CT1KCWSTemp
ct k sys ena,1,kFactor,0.8521659970283508,CT1KSysEna
ct k byp vlv cmd,1,condBypassFlow,0.842103898525238,CT1KBypVlvCmd
ct k bsn htr cmd,1,evapEnteringTemp,0.2335435003042221,CT1KBsnHtrCmd
ct jf sts,1,dischargeFanCurrent,0.43844524025917053,CT1JFSts
ct jf spd,1,dischargeFanFrequency,0.9929630160331726,CT1JFSpd
ct jf cmd,1,condPump,0.8022230267524719,CT1JFCmd
ct jcws tmp sp,1,occupiedCoolSpOffset,0.5162591338157654,CT1JCWSTmpSp
moa vol sp,1,minOutsideFlowSp,0.9988254904747009,MOAVolSp
chw diff prs sp,1,zonePressureSp,0.3272959589958191,CHWDiffPrsSp
