text,target
exhaust_dmpr_fb,exhaustDamperFb
OccCoolSetpointLocal,occupiedCoolSpLocal
RA-CFM-DESIRED,returnFlowSp
dischargePressSetpt,dischargePressureSp
PRESS_LOW_SP_SPACE,zonePressureLoSp
cool_occ_spt,occupiedCoolSp
Occupied_Htg_Setpoint,occupiedHeatSp
ZN-PWR-REAL-STAT,zonePowerReal
ZN-PM25,zonePM25
supply_airflow_feedback,dischargeFlowStatus
whl_ret_fan_fault,wheelReturnFanFault
bldg_pr,buildingPressure
scheduleSpTempOffset,zoneTempSpOffset
economizerSts,econStatus
BOILER-CMD,boilerEnable
BOILERALARM,boilerAlarm
ZN-PM25-CONC,zonePM25
RmTmp,zoneTemp
chiller_setpoint_enable,chillerEnableSp
condpump-enable,condPumpEnable
HTG_UNOCC_SP_MIN_FLOW,dischargeFlowUnoccHeatSp
CHILL1_SUP_FLOW,evapLeavingFlow
O3-SPC-SNS,zoneO3
FAN_OUTPUT_CMD_SA,dischargeFanSpeed
MIN-OA-DAMPER-FB,minOutsideDamperFb
cndBypTemp,condBypassTemp
blr-st,boilerStatus
condenser_pump_speed_feedback,condPumpSpeedFb
SpaceSO2Alarm,zoneSO2LevelAlarm
DA_FAN_ALARM,dischargeFanAlarm
DA-TEMP-SENSOR,dischargeTemp
CW_SUPPLY_TOTAL_FLOW,condWaterLeavingFlow
CLG_STBY_CFM_FLO_SP,dischargeFlowStandbyCoolSp
minOADamperFb,minOutsideDamperFb
cwp01SpeedOverride,condPumpSpeedOvr
heatingSetpointEnable,heatingEnableSp
MA-LO-LIMIT,mixedTempLoSp
HeatLoopPmpSts,heatingCoilPumpStatus
spcPressure_SetPt,zonePressureSp
zone_purge_mode,zonePurge
amp_phase_c_max,currentPhaseCMax
STBY_COOL_CFM_SP,dischargeFlowStandbyCoolSp
ZN-CO2-HI-FLAG,zoneCO2Alarm
DA_CO2_LEVEL,dischargeCO2
CHW_POS_FB,coolingValveFb
MinFlowUnoccHtgSP,dischargeFlowUnoccHeatSp
COZONE,zoneCO
currC,currentPhaseC
SAF_VFD_FREQ,dischargeFanFrequency
DEHUMIDRUN,dehumidifierRuntime
ZONE_TEMP_SPT,zoneTempSp
ZN_PURGE_STATE,zonePurge
DEHUM_SETPT,dehumidSp
chw_valve_position,coolingValveFb
BYPASS_H2O_FLOWRATE,evapBypassFlow
WHEEL_RETURN_ENTh,wheelReturnEnthalpy
comp_fault,compAlarm
ZN_T_SPT,zoneTempSp
CWENTRTEMP,condEnteringTemp
ECONOMIZER-ENABLE,econEnable
heat_setpoint_occupied_offset,occupiedHeatSpOffset
EnableEconomizerSp,econEnableSp
DFAN_DRIVE_ALM,dischargeFanDriveAlarm
zoneCO2Conc,zoneCO2
clg_occ_sp_local,occupiedCoolSpLocal
RM-PRESS-LOW-ALARM,zonePressureLoAlarm
comp-error,compAlarm
SPACE-LIGHT-LEVEL,zoneLightLevel
ZNCOOLSP,zoneCoolSp
ZN-ILLUM-MIN-SP,zoneLightLevelMinSp
comp-ena,compEnable
cwp1_speed_setpoint,condPumpSpeedSp
whl-r-fan-spd,wheelReturnFanSpeed
FAN_MOTOR_TEMP_DISCH,dischargeFanMotorTemp
emergCmd,emergencyStop
ChillerEnable,chillerEnable
zone-sp-lcl,zoneTempSpLocal
spaceDewpoint,zoneDewpoint
ReturnTempSetpoint,returnTempSp
Return_Temp_Sp,returnTempSp
WHL_RF_FAULT,wheelReturnFanFault
RtnTempSp,returnTempSp
ZN-VOC-MIN-ALARM,zoneVOCLoAlarm
DISCH_AIR_FAN_CURRENT,dischargeFanCurrent
zonePressureLoSpValue,zonePressureLoSp
HTGUNOCCMINFLOWSPT,dischargeFlowUnoccHeatSp
ZN-VOC-MAX-ALARM,zoneVOCHiAlarm
SFA-ALARM,dischargeFanAlarm
outside-air-damper,outsideDamper
CHWP-STARTUP-ALARM,evapPumpAlarm
IAmp,currentPhaseA
OA_EXT_TEMP,outsideTemp
SUP-AIR-FLOW,dischargeFlow
ZN_O2_DATA,zoneO2
UNOC_CLG_TEMP_SP,unoccupiedCoolSp
EMERG-STOP,emergencyStop
DISCHARGEDAMPERFB,dischargeDamperFb
VOC_DEADBAND_ZONE,zoneVOCDb
RETURNTEMP,returnTemp
PURGE_ST_RM,zonePurgeStatus
MA_LO_LMT_SPT,mixedTempLoSp
DISCHARGE_FAN_PROOF,dischargeFanStatus
HRW_MODE,energyRecoveryMode
znprs,zonePressure
BOILER_STM_PRESS,steamPressure
OA_TEMP_ERR,outsideTempFault
zone.press.hi.alarm,zonePressureHiAlarm
SPC_N2_ALARM_STATE,zoneN2Alarm
A-PRESS,airPressure
BYPASS_EVAP_FLOWRATE_SP,evapBypassFlowSp
HTG_AIRFLW_MAX_SP,dischargeFlowHeatMaxSp
CDDMPR-STS,coldDeckDamperFb
BLGPRSSP,buildingPressureSp
unitAvailability,unitStatus
cw_pump_cmd,condPump
dehumsp,dehumidSp
RM-VOC-LOW-ALARM,zoneVOCLoAlarm
lowTempTrigger,lowLimitAlarm
occCoolSetpoint,occupiedCoolSp
zoneTempHiAlarm,zoneTempHiAlarm
econoMode,econMode
GAS-PRESS-DROP-ALM,gasPressureLoAlarm
NO2_CONCENTRATION_ZONE,zoneNO2
supply_damper_output,dischargeDamper
MIN-UNOCC-HTG-FLO-SP,dischargeFlowUnoccHeatSp
SA_STAT_PRESSURE_LO_SP,dischargePressureLoSp
zone-DPnt,zoneDewpoint
MIN_CLG_FLOW_SP,dischargeFlowCoolMinSp
dis_air_temp_lo_alarm,dischargeTempLoAlarm
ZNT_MN_SPT,zoneTempMinSP
DISCH_DEHUM_SP_CMD,dischargeDehumidSp
ZONE_TEMP_MIN_SPT,zoneTempMinSP
standbyMinCoolFlowSP,dischargeFlowStandbyCoolSp
cwPumpSpdFb,condPumpSpeedFb
ECON_TRIGGER_ON_DPT,econEnableDewpointSp
ch-alrm,chillerAlarm
estopSignal,emergencyStop
SUPPLY_FAN_HZ_FB,dischargeFanSpeedFb
RM-LPG-ALARM-ACTIVE,zoneLPGAlarm
CHWRETTMP,evapEnteringTemp
wheel_ext_fan_speed,wheelOutsideFanSpeed
SpaceHeatDeadband,zoneTempHeatDb
dischargeIsoDamper,dischargeIsoDamper
aPress,airPressure
zoneCO,zoneCO
dischargeAirTempExceeded,dischargeTempHiAlarm
cnd_bypass_flow,condBypassFlow
dehumidifyStatus,dehumidifier
OA-T-SP-LOW,outsideTempLoSp
RoomPM25Reading,zonePM25
cond-byp-flw-sp,condBypassFlowSp
HW_PMP_ALARM_SIGNAL,heatingCoilPumpAlarm
DISCHARGE-PRESSURE,dischargePressure
EVAPORATOR_BYP_T,evapBypassTemp
Dis-Air-Temp-Setpoint,dischargeTempSp
EFF_ZN_HTG_SP,zoneHeatSp
cwPump1Enable,condPumpEnable
zoneTemp_MaxSPT,zoneTempMaxSP
EXHAUST_F_STS,exhaustFanStatus
min_oad_fb,minOutsideDamperFb
cndbypasstemp,condBypassTemp
BP-SWITCH,bypassSwitch
ZonePM25,zonePM25
NO2_ZONE_LEVEL,zoneNO2
dehumidifier-alarm,dehumidifierAlarm
MIX_LO_TEMP_SPT,mixedTempLoSp
DA_TEMP_SP_HI,dischargeTempHiSp
ZN-TEMP-MAX-SP,zoneTempMaxSP
CWT-LEAV-TEMP,condLeavingTemp
SAIRFLOW,dischargeFlow
cnd-byp-vlv-command,condBypassValve
DEHMD_DEMAND,dehumidDemand
wheel_RTM,wheelRuntime
NO_SPC_HI_SP,zoneNOMaxSp
ZN_PURGE_ST,zonePurgeStatus
dis_air_press,dischargePressure
bypassvalve,bypassValve
OA_TEMP_OUT,outsideTemp
staticPressureHighSetpoint,dischargePressureHiSp
exhaust-dmpr-cmd,exhaustDamper
CHWP-ALARM,evapPumpAlarm
ZN_NO_REALTIME,zoneNO
hvac_mode_cmd,hvacMode
WHEELRUNTIME,wheelRuntime
DISCH_DEHUMID_SP,dischargeDehumidSp
STBYCLG,standbyCoolSp
zonePurge,zonePurge
MIN_SAT_LIMIT_SETPOINT,dischargeTempMinSp
DISCH-SMOKE-ALM,dischargeSmokeAlarm
SA-ISOD,dischargeIsoDamper
wheel_return_fan_fault,wheelReturnFanFault
OA-MEAS-HUM,outsideHumidity
cond-bypassflw,condBypassFlow
min-oa-dmpr-override,minOutsideDamperOvr
ReturnAirCarbonDioxide,returnCO2
whl_ofan_runtime,wheelOutsideFanRuntime
SUPPLY_FAN_OUTPUT_PCT,dischargeFanSpeed
RETURN-AIR-TEMP-SETPOINT,returnTempSp
zone_press_low_limit,zonePressureLoSp
cond1-bypass-temp,condBypassTemp
cd_flow_out,coldDeckDischargeFlow
ZNH,zoneHumidity
ret_a_fan_sts,returnFanStatus
freezeProtectEnable,freezeProtectEnable
ZONEAIRTEMP,zoneTemp
LPG_LEAK_ALARM,zoneLPGAlarm
coldDeckDischargePressure,coldDeckDischargePressure
DISCH_SA_DEHUM_SP,dischargeDehumidSp
supplyFanErrorCode,dischargeFanFaultCode
DA_TEMP_DEHUM_SP,dischargeTempDehumidSp
O3_CONCENTRATION_ZONE,zoneO3
dischargeSmokeDamperCmd,dischargeSmokeDamper
DRIVE_ALARM_STATUS,driveAlarm
NO_ALARM_LATCH,zoneNOAlarm
L2CurrentMax,currentPhaseBMax
SUPPLYFANALM,dischargeFanAlarm
DISCHARGE_FAN_OUTPUT_HZ,dischargeFanFrequency
freeze_prot_enable_cmd,freezeProtectEnable
Amp-Phase-A,currentPhaseA
Zone_CO2,zoneCO2
WHEEL_RETURN_TEMP,wheelReturnTemp
ZNHM-SP,zoneHumidityMaxSp
CLG_FLOW_MAX_RANGE_SP,dischargeFlowCoolMaxSp
wheelOutsideTemp,wheelOutsideTemp
cold-deck-damper,coldDeckDamper
SpcVOC,zoneVOC
ZN_PRESS_LO_ALM,zonePressureLoAlarm
sup_fan_flt,dischargeFanFault
SUPPLY_STATIC_PRESS_MIN,dischargePressureLoSp
cmpEnable,compEnable
flow_min_unocc_clg_spt,dischargeFlowUnoccCoolSp
cmp-status,compStatus
cool_status,coolingStatus
Boiler2Pump,heatingCoilPump
ECON_LOCKOUT_SP,econDisableSp
dischargeCoolHiSp,dischargeTempCoolMaxSp
dis_air_dpt_hi_alarm,dischargeDewpointHiAlarm
zone-CO,zoneCO
GAS-FLOW-DROP-ALM,gasFlowLoAlarm
SUPPLY_STAT_SP,dischargePressureSp
CHWR-IN-FLOW,evapEnteringFlow
ZN_RH_MIN_SP,zoneHumidityMinSp
SA_SMK_DMPR_FDBK,dischargeSmokeDamperFb
supplyFanMotorTemp,dischargeFanMotorTemp
ECON_DP_ENABLE_SETPOINT,econEnableDewpointSp
shutdown_emergency_cmd,emergencyShutdown
Zone-Energy,zoneEnergy
cnd_byp_flw,condBypassFlow
ZNCO,zoneCO
SpaceMaxTempSP,zoneTempMaxSp
SPACECO,zoneCO
RPM-Wheel,wheelSpeed
OD_TEMP,outsideTemp
RM-MIN-SP,zoneTempMinSp
ZN_LUX_MAX_SP_REALTIME,zoneLightLevelMaxSp
space_lux,zoneLightLevel
CDWENTRT,condEnteringTemp
compressor_warning,compWarning
HW-PMP-ALM,heatingCoilPumpAlarm
CW_VALVE,coolingValve
chill_wtr_sup_temp,evapLeavingTemp
RETURN_FLOW_SPT,returnFlowSp
coolingDischargeMaxSp,dischargeTempCoolMaxSp
compressor1-status,compStatus
WHEEL-RUNTIME,wheelRuntime
ZN-T-SP-LOW-BOUND,zoneTempMinSp
ZONELIGHTLEVEL,zoneLightLevel
MINHTGAIRFLWSP,dischargeFlowHeatMinSp
CondenserRetFlowRaw,condEnteringFlow
zone_voc_min_alert,zoneVOCLoAlarm
boilrAlarm,boilerAlarm
CHWP_OP_STATE,evapPumpStatus
DISCH-SMK-DMPR-FB,dischargeSmokeDamperFb
Wheel_OA_Fan_Speed,wheelOutsideFanSpeed
HW_TEMP_OUT_SENSOR,heatingCoilLeavingTemp
ZN_NO2_LEVEL,zoneNO2
humidifier-en-setpoint,humidifierEnableSp
dehumid_flt,dehumidifierFault
discharge_air_dpt_lo_setpoint,dischargeDewpointLoSp
whlReturnTemp,wheelReturnTemp
ZN_TEMP_HIGH_LIMIT,zoneTempHiSp
condpump_ovr,condPumpOvr
SA_FAN_FAULT_CODE,dischargeFanFaultCode
CHWRETFLW,evapEnteringFlow
dehum_cmd,dehumidifier
returntempsetpoint,returnTempSp
ZN-VOC-SP-DB,zoneVOCDb
SF_ALARM_RESET,dischargeFanAlarmReset
unit-op-fb,unitStatus
DAIR_DEWPOINT,dischargeDewpoint
comp1-command,comp
ZN-T-SP-MAX-ADJ,zoneTempMaxSp
SUPAIR_TEMP_HIGH_SP,dischargeTempHiSp
DISCHARGE_AIR_DEHUMID_TEMP_SP,dischargeTempDehumidSp
LO_SET_PT_ROOM,zoneTempLoSp
Space_Cool_Db,zoneTempCoolDb
S_FAN_RST,dischargeFanAlarmReset
ZN-LIGHT-SP,zoneLightLevelSp
disch_temp_dehum_sp,dischargeTempDehumidSp
supplyAirHighTempSp,dischargeTempHiSp
znvoc,zoneVOC
ZN-VOC-ALM,zoneVOCAlarm
RMT-PRESS-DB,zonePressureDb
RAF-MOTOR-ALERT,returnFanAlarm
SPC_O3_LEVEL,zoneO3
condenser1Ctrl,cond
BLR_ALARM,boilerAlarm
DISCH_DEHUMIDIFICATION_SP,dischargeDehumidSp
ampsA,currentPhaseA
RETURN_HUM_SENSOR,returnHumidity
REACTIVE_TOTAL_ENERGY,energyReactive
SA_TEMP_SENSOR_FAULT,dischargeTempFault
spc-VOC,zoneVOC
OA_DPT_ECON_ENABLE_SP,econEnableDewpointSp
WHL_RF_SPEED,wheelReturnFanSpeed
whl_rf_runtime,wheelReturnFanRuntime
supplyAirDptHiSp,dischargeDewpointHiSp
Whl_Runtime,wheelRuntime
DEHUM_ALARM,dehumidifierAlarm
ZONE_VOC_SP,zoneVOCSp
exhaustDamperCommand,exhaustDamper
space-hum-spt,dehumidSp
WheelReturnFan,wheelReturnFan
Z-TMIN-SPT,zoneTempMinSP
hvac-override,hvacModeOvr
ZN-CO2,zoneCO2
FAN_FLT_RESET_SA,dischargeFanFaultReset
CH1_FLT,chillerFault
hvac-mode-override-cmd,hvacModeOvr
DAFLOW_CLG_STBY_SP,dischargeFlowStandbyCoolSp
RM_SO2_ALM,zoneSO2LevelAlarm
bypass_dmpr_position,bypassDamperFb
supplyDamperOverride,dischargeDamperOvr
SA_TEMP_COOLING_CMD,dischargeTempCoolSp
lowthreshold_alarm,lowLimitAlarm
current_PhaseA,currentPhaseA
RAF_ALARM_SIGNAL,returnFanAlarm
SAFAN_COMMAND,dischargeFanEnable
ZN-H-SP,zoneHumiditySp
DA_TEMP_FAULT,dischargeTempFault
DA_TEMP_LO_ALARM,dischargeTempLoAlarm
boilr_status,boilerStatus
EX-FAN-COMMAND,exhaustFanEnable
supply_fan_stat,dischargeFanStatus
sp_discharge_dpt,dischargeDewpointSp
UNIT_DIRTY_FILTER_ALM,unitFilterAlarm
RM_T_MAX_SP,zoneTempMaxSp
SPACECLGSP,zoneCoolSp
ZNH-MAX-SPT,zoneHumidityMaxSp
SPACEHUMIDITY,zoneHumidity
occupiedHeatingSp_Offset,occupiedHeatSpOffset
unit_status_feedback,unitStatus
spcHum_SetPoint,zoneHumiditySp
BLG-PSP,buildingPressureSp
space-voc-level-alarm,zoneVOCLevelAlarm
ZN-STATIC-HI-SP,zonePressureHiSp
byp_valve_status,bypassValveFb
dehum-flt,dehumidifierFault
Occ_Cool_Setpoint,occupiedCoolSp
currentPhaseBMaximum,currentPhaseBMax
SP_CLG_UNOCC_FLOW_LIMIT,dischargeFlowUnoccCoolSp
cfmCorrectionFactor,kFactor
spaceTempMaxSP,zoneTempMaxSP
RM-LIGHT-SP,zoneLightLevelSp
RM_SOUND,zoneNoiseLevel
DA_DPT_SETPOINT,dischargeDewpointSp
EXHAUST_DAMPER_FB,exhaustDamperFb
SUP_AIR_CFM,dischargeFlow
ZN-NO2-MEAS,zoneNO2
OutsideTempHighSetpoint,outsideTempHiSp
SA_RH_FEEDBACK,dischargeHumidity
ZN_HUM_MIN_SP_DATA,zoneHumidityMinSp
buildingPressure,buildingPressure
whl_rtn_flow,wheelReturnFlow
Line1_I_Max,currentPhaseAMax
ZN-IAQ-PM25,zonePM25
DISCHARGE_AIR_TEMP_CLG_SP,dischargeTempCoolSp
spcHumSPT,zoneHumiditySp
STEAMCTRLVLV,steamValve
ZN.PWR.REAL,zonePowerReal
SA_DPT_HI_LIMIT,dischargeDewpointHiSp
RETURN-HUM-RH,returnHumidity
hvac_mode_active,hvacMode
Zone_Press,zonePressure
RET_FLOW_CFM_TARGET,returnFlowSp
supply_air_pressure,dischargePressure
SPC_TMP_SENSOR,zoneTemp
cmp_wrn,compWarning
EXHST-CONTROL,exhaustFanEnable
RM-T-HIGH-ALARM,zoneTempHiAlarm
DAIR_CO2_PPM,dischargeCO2
ZN-P-MIN-SP,zonePressureMinSp
econo_sts,econStatus
zn-pm4,zonePM4
coldDeckDmprOutput,coldDeckDamper
condenser_byp_flow,condBypassFlow
