text,context,targets,resolution
compfault,,"compFault (2; rows 0, sites 0) | compAlarm (1; rows 0, sites 0)",compFault (override)
comp fault,,"compFault (9; rows 0, sites 0) | compAlarm (2; rows 0, sites 0)",compFault (override)
compflt,,"compAlarm (1; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compFault (override)
comp flt,,"compFault (4; rows 0, sites 0) | compAlarm (2; rows 0, sites 0)",compFault (override)
comperror,,"compAlarm (2; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compAlarm (override)
comp error,,"compAlarm (2; rows 0, sites 0) | compFault (2; rows 0, sites 0)",compFault (override)
cmpfault,,"compAlarm (1; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compFault (override)
cmp fault,,"compFault (8; rows 0, sites 0) | compAlarm (2; rows 0, sites 0)",compFault (override)
cmpflt,,"compAlarm (1; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compFault (override)
cmp flt,,"compAlarm (2; rows 0, sites 0) | compFault (2; rows 0, sites 0)",compFault (override)
cmp error,,"compAlarm (2; rows 0, sites 0) | compFault (2; rows 0, sites 0)",compFault (override)
compressorfault,,"compAlarm (1; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compFault (override)
compressor fault,,"compFault (6; rows 0, sites 0) | compAlarm (2; rows 0, sites 0)",compFault (override)
compressorflt,,"compAlarm (1; rows 0, sites 0) | compFault (1; rows 0, sites 0)",compFault (override)
compressor flt,,"compFault (4; rows 0, sites 0) | compAlarm (2; rows 0, sites 0)",compFault (override)
comp en,,"compEnable (5; rows 0, sites 0) | compEnergy (0.5; rows 0, sites 0)",compEnable
cmp en,,"compEnable (4; rows 0, sites 0) | compEnergy (0.5; rows 0, sites 0)",compEnable
compressor en,,"compEnable (4; rows 0, sites 0) | compEnergy (0.5; rows 0, sites 0)",compEnable
condenser,,"cond (2; rows 0, sites 0) | condFanSpeed (1.41421; rows 2, sites 1)",cond
cwr t,,"condEnteringTemp (3.73205; rows 4, sites 2) | condLeavingTemp (2.73205; rows 4, sites 2) | secEnteringTemp (1.41421; rows 2, sites 1) | twrEnteringTemp (1; rows 1, sites 1) | twrLeavingTemp (1; rows 1, sites 1)",condEnteringTemp
cond water return temp,,"twrEnteringTemp (1.73205; rows 3, sites 1) | condEnteringTemp (1; rows 0, sites 0)",twrEnteringTemp
cws t,,"condLeavingTemp (4.14626; rows 5, sites 2) | secLeavingTemp (1.41421; rows 2, sites 1) | condEnteringTemp (1; rows 1, sites 1) | twrEnteringTemp (1; rows 1, sites 1) | twrLeavingTemp (1; rows 1, sites 1) | evapLeavingTemp (1; rows 0, sites 0)",condEnteringTemp (override)
cws tmp,,"condLeavingTemp (4; rows 9, sites 1) | condEnteringTemp (3.65028; rows 7, sites 2) | twrLeavingTemp (1.73205; rows 3, sites 1) | priEnteringTemp (1; rows 1, sites 1)",condLeavingTemp
dehumid enable,,"dehumidEnable (3; rows 0, sites 0) | dehumidifier (2; rows 0, sites 0)",dehumidEnable (override)
dehum enable,,"dehumidEnable (4; rows 1, sites 1) | dehumidifier (2; rows 0, sites 0)",dehumidEnable (override)
dehumidifier enable,,"dehumidEnable (4; rows 0, sites 0) | dehumidifier (1; rows 0, sites 0)",dehumidEnable (override)
dehumid en cmd,,"dehumidEnable (2; rows 0, sites 0) | dehumidifierEnable (0.5; rows 0, sites 0)",dehumidEnable
dehumidifier enable cmd,,"dehumidEnable (1; rows 0, sites 0) | dehumidifierEnable (0.5; rows 0, sites 0)",dehumidEnable
dehum setpoint,,"dehumidSp (3; rows 0, sites 0) | dehumidEnableSp (2; rows 0, sites 0)",dehumidSp (override)
zone temp min sp,,"zoneTempMinSp (7; rows 0, sites 0) | zoneTempLoSp (1; rows 0, sites 0)",zoneTempMinSp (override)
zone temp low sp,,"zoneTempMinSp (2; rows 0, sites 0) | zoneTempLoSp (1; rows 0, sites 0)",zoneTempMinSp (override)
zone temperature low setpoint,,"zoneTempLoSp (1; rows 0, sites 0) | zoneTempMinSp (1; rows 0, sites 0)",DROPPED (override)
zone hum sp,,"dehumidSp (5; rows 0, sites 0) | zoneHumiditySp (2; rows 0, sites 0)",dehumidSp (override)
space hum spt,,"dehumidSp (4; rows 0, sites 0) | zoneHumiditySp (1; rows 0, sites 0)",dehumidSp (override)
hum sp,,"dischargeHumiditySp (3.4641; rows 12, sites 1) | zoneHumiditySp (3; rows 0, sites 0) | humidifierEnableSp (2; rows 4, sites 1)",dischargeHumiditySp
zone energy,,"zoneEnergy (9; rows 0, sites 0) | energy (1; rows 0, sites 0)",zoneEnergy (override)
dew point,,"zoneDewpoint (6; rows 0, sites 0) | outsideDewpoint (1; rows 1, sites 1)",zoneDewpoint
zone co,,"zoneCO (11; rows 0, sites 0) | zoneCO2 (2; rows 0, sites 0)",zoneCO
zn co,,"zoneCO (8.23607; rows 9, sites 2) | zoneCO2 (4; rows 0, sites 0)",zoneCO
rm co2,,"zoneCO2 (34.213; rows 234, sites 4) | zoneCO (1; rows 1, sites 1)",zoneCO2
dehumidifier status,,"dehumidifierStatus (4; rows 0, sites 0) | dehumidifier (3; rows 0, sites 0)",dehumidifierStatus (override)
dehum status,,"dehumidifierStatus (7; rows 0, sites 0) | dehumidifier (3; rows 0, sites 0)",dehumidifierStatus (override)
dpr o,,"dischargeDamper (31; rows 611, sites 3) | outsideDamper (1.73205; rows 3, sites 1)",dischargeDamper
dmpr cmd,,"dischargeDamper (11; rows 573, sites 1) | outsideDamper (5.47723; rows 30, sites 1)",dischargeDamper
sa dmpr pos,,"dischargeDamperFb (9.64365; rows 93, sites 1) | dischargeDamper (1; rows 0, sites 0)",dischargeDamperFb
economizer status,,"econStatus (5; rows 0, sites 0) | econEnable (2; rows 1, sites 1)",econStatus (override)
econ status,,"econStatus (5; rows 0, sites 0) | econEnable (1; rows 0, sites 0)",econStatus (override)
econo status,,"econStatus (4; rows 0, sites 0) | econEnable (1; rows 0, sites 0)",econStatus (override)
econ sp,,"econEnableSp (5.23607; rows 5, sites 1) | econSp (1; rows 1, sites 1)",econEnableSp
econ sts,,"econStatus (9.24264; rows 18, sites 1) | econEnable (1; rows 1, sites 1)",econStatus
econ state,,"econStatus (3; rows 0, sites 0) | econMode (2; rows 0, sites 0)",econStatus (override)
economizer state,,"econStatus (3; rows 0, sites 0) | econMode (2; rows 0, sites 0)",econStatus (override)
econo state,,"econStatus (3; rows 0, sites 0) | econMode (2; rows 0, sites 0)",econStatus (override)
econ mode,,"econMode (6.44949; rows 6, sites 1) | econStatus (3; rows 0, sites 0) | econEnable (1; rows 1, sites 1)",econMode (override)
economizer mode,,"econMode (4; rows 0, sites 0) | econStatus (3; rows 0, sites 0)",econMode (override)
econ available,,"econEnable (2; rows 2, sites 2) | econStatus (1; rows 0, sites 0)",econEnable
exhaust cmd,,"exhaustDamper (1; rows 0, sites 0) | exhaustFanEnable (1; rows 0, sites 0)",exhaustFanEnable (override)
enable freeze protection,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
enable frost protection,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
enable frz protect,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
enable frz pro,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
freeze protect enable,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
frost prot enable,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
frz prot enable,,"freezeProtectEnable (2; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
frz protect enable,,"freezeProtectEnable (1; rows 0, sites 0) | freezeProtect (1; rows 0, sites 0)",freezeProtectEnable (override)
htg spt,,"occupiedHeatSp (10; rows 471, sites 1) | zoneHeatSp (10; rows 1028, sites 1) | heatingEnableSp (1; rows 0, sites 0)",DROPPED (tie)
heating setpoint,,"priLeavingTempSp (1; rows 1, sites 1) | heatingEnableSp (1; rows 0, sites 0)",priLeavingTempSp
heating setpt,,"zoneHeatSp (2.64575; rows 7, sites 1) | heatingEnableSp (1; rows 0, sites 0)",zoneHeatSp
heat setpt,,"zoneHeatSp (1; rows 1, sites 1) | heatingEnableSp (1; rows 0, sites 0)",zoneHeatSp
heat enable,,"heatingEnable (2.23607; rows 5, sites 1) | heatingEnableSp (1; rows 0, sites 0)",heatingEnable
htg cmd,,"heatingStage (4.24264; rows 18, sites 1) | heatingDemand (3.4641; rows 12, sites 1) | heatingEnable (2; rows 0, sites 0) | heatingValve (1; rows 1, sites 1)",heatingStage
htg status,,"heatingStatus (4; rows 0, sites 0) | heatingStageStatus (1; rows 1, sites 1)",heatingStatus
htg sts,,"heatingStageStatus (9.53939; rows 91, sites 1) | heatingStatus (4; rows 0, sites 0)",heatingStageStatus
heat status,,"heatingEnable (4.79583; rows 23, sites 1) | heatingStatus (3; rows 0, sites 0) | heatingDemand (1; rows 1, sites 1)",heatingEnable
humidifier enable cmd,,"humidifierEnable (3; rows 0, sites 0) | humidifier (1; rows 0, sites 0)",humidifierEnable (override)
humidifier en cmd,,"humidifier (2; rows 0, sites 0) | humidifierEnable (2; rows 0, sites 0)",humidifierEnable (override)
humid en cmd,,"humidifierEnable (2; rows 0, sites 0) | humidifier (1; rows 0, sites 0)",humidifierEnable (override)
min oa dmp cmd,,"minOutsideDamper (7.29603; rows 14, sites 3) | outsideDamperMin (4.47214; rows 20, sites 1)",minOutsideDamper
min oa damper cmd,,"minOutsideDamper (5.82843; rows 8, sites 1) | outsideDamper (1; rows 1, sites 1)",minOutsideDamper
min oa,,"outsideDamperMinSp (1; rows 1, sites 1) | minOutsideDamper (1; rows 0, sites 0)",outsideDamperMinSp
min oa sp,,"minOutsideDamperMinSp (3; rows 0, sites 0) | outsideFlowMinSp (1.41421; rows 2, sites 1) | minOutsideDamper (1; rows 1, sites 1)",minOutsideDamperMinSp
min oa setpoint,,"minOutsideDamperMinSp (2; rows 0, sites 0) | minOutsideFlow (1; rows 1, sites 1)",minOutsideDamperMinSp
min oa setpt,,"outsideDamperMinSp (5.74456; rows 33, sites 1) | outsideFlowMinSp (1; rows 1, sites 1) | minOutsideDamperMinSp (1; rows 0, sites 0)",outsideDamperMinSp
min oa spt,,"outsideFlowMinSp (1; rows 1, sites 1) | minOutsideDamperMinSp (1; rows 0, sites 0)",outsideFlowMinSp
oa min setpoint,,"minOutsideDamperMinSp (1; rows 0, sites 0) | outsideTempLoSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min spt,,"minOutsideFlowSp (2; rows 0, sites 0) | minOutsideDamperMinSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa minimum setpoint,,"minOutsideDamperMinSp (1; rows 0, sites 0) | minOutsideFlowSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min flow spt,,"outsideFlowMinSp (1; rows 1, sites 1) | minOutsideFlowSp (1; rows 0, sites 0) | minOutsideDamperMinSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
occ status,,"occupancyMode (14.4495; rows 448, sites 3) | occupancySensor (2; rows 4, sites 1)",occupancyMode
occ cool setpt,,"occupiedCoolSp (12; rows 355, sites 1) | zoneCoolSp (1; rows 1, sites 1)",occupiedCoolSp
occ clg sp,,"occupiedCoolSp (40.8489; rows 951, sites 4) | zoneCoolSp (8.76268; rows 56, sites 2) | zoneTempSp (3.31662; rows 11, sites 1)",occupiedCoolSp
occupied cool spt,,"occupiedCoolSp (3; rows 1, sites 1) | unoccupiedCoolSp (1; rows 1, sites 1)",occupiedCoolSp
occ heat setpt,,"occupiedHeatSp (12; rows 355, sites 1) | zoneHeatSp (1; rows 1, sites 1)",occupiedHeatSp
occ htg sp,,"occupiedHeatSp (40.8489; rows 948, sites 4) | zoneHeatSp (1.41421; rows 2, sites 1)",occupiedHeatSp
cold deck damper pos,,"coldDeckDamper (1; rows 0, sites 0) | coldDeckDamperFb (1; rows 0, sites 0)",coldDeckDamperFb (override)
sa fan status,,"dischargeFanStatus (10.7321; rows 39, sites 2) | dischargeFanStatuss (3.60555; rows 13, sites 1)",dischargeFanStatus
sf cmd,,"dischargeFan (36.899; rows 868, sites 4) | dischageFan (3; rows 9, sites 1)",dischargeFan
dis fan cmd,,"dischargeFan (2; rows 0, sites 0) | dischargeFanSpeed (1; rows 0, sites 0)",dischargeFan (override)
sa flow sp,,"dischargeFlowSp (33; rows 573, sites 3) | dischargeTempSp (4.79583; rows 23, sites 1)",dischargeFlowSp
supply static,,"dischargePressure (6.83095; rows 34, sites 1) | dischargePressureSp (1.41421; rows 2, sites 1)",dischargePressure
supply temp,,"dischargeTemp (15; rows 1260, sites 3) | secLeavingTemp (3.4641; rows 12, sites 1) | evapLeavingTemp (1.41421; rows 2, sites 1) | zoneTemp (1; rows 1, sites 1) | dischargeTempSp (1; rows 1, sites 1)",dischargeTemp
sa temp clg lo sp,,"dischargeTempLoSp (1; rows 0, sites 0) | dischargeTempCoolMinSp (1; rows 0, sites 0)",DROPPED (override)
sa dehumid sp,,"dischargeDehumidSp (1; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",DROPPED (override)
sa dehum sp,,"dischargeDehumidSp (1; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",DROPPED (override)
supply dehumid sp,,"dischargeDehumidSp (3; rows 0, sites 0) | dischargeTempDehumidSp (2; rows 0, sites 0)",dischargeDehumidSp (override)
sa dehum cmd sp,,"dischargeDehumidSp (1; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",DROPPED (override)
sup dehum sp,,"dischargeDehumidSp (1; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",DROPPED (override)
da dehum sp,,"dischargeDehumidSp (2; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",dischargeDehumidSp (override)
disch dehum sp,,"dischargeDehumidSp (1; rows 0, sites 0) | dischargeTempDehumidSp (1; rows 0, sites 0)",dischargeDehumidSp (override)
chw vlv,,"coolingValve (17.915; rows 76, sites 3) | mixingValve (1; rows 1, sites 1)",coolingValve
chw v,,"coolingValve (2; rows 0, sites 0) | secEnteringIsoValve (1.41421; rows 2, sites 1)",coolingValve
chw pos,,"coolingValveFb (2; rows 0, sites 0) | coolingValve (1; rows 0, sites 0)",coolingValveFb (override)
cool valve position,,"coolingValve (1; rows 0, sites 0) | coolingValveFb (1; rows 0, sites 0)",coolingValveFb (override)
chw vlv pos,,"coolingValve (15.8581; rows 75, sites 4) | coolingValveFb (6.05996; rows 9, sites 2) | secMixingValve (1; rows 1, sites 1)",coolingValve
chw ena,,"systemEnable (1; rows 1, sites 1) | coolingStatus (1; rows 0, sites 0)",systemEnable
cooling state,,"coolingEnable (1.41421; rows 2, sites 1) | coolingStage (1.41421; rows 2, sites 1) | coolingStatus (1; rows 0, sites 0)",DROPPED (tie)
cur,,"condPumpCurrent (1; rows 1, sites 1) | current (1; rows 0, sites 0)",condPumpCurrent
current,,"secPumpCurrent (3.4641; rows 12, sites 1) | condPumpCurrent (2; rows 4, sites 1) | priPumpCurrent (2; rows 4, sites 1) | compCurrent (1.73205; rows 3, sites 1) | twrFanCurrent (1.73205; rows 3, sites 1) | current (1; rows 0, sites 0)",secPumpCurrent
line current,,"current (1; rows 0, sites 0) | currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",DROPPED (tie)
phase current,,"currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0) | current (1; rows 0, sites 0)",DROPPED (tie)
l1 current,,"current (1; rows 0, sites 0) | currentPhaseA (1; rows 0, sites 0)",currentPhaseA (override)
l2 current,,"current (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0)",currentPhaseB (override)
l3 current,,"current (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",currentPhaseC (override)
motor current,,"twrFanCurrent (2.23607; rows 5, sites 1) | secPumpCurrent (1.73205; rows 3, sites 1) | current (1; rows 0, sites 0)",twrFanCurrent
compressor current,,"current (1; rows 0, sites 0) | compCurrent (0.5; rows 0, sites 0)",current
line i,,"currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",DROPPED (tie)
ph current,,"currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",DROPPED (tie)
ph i,,"currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",DROPPED (tie)
phase i,,"currentPhaseA (1; rows 0, sites 0) | currentPhaseB (1; rows 0, sites 0) | currentPhaseC (1; rows 0, sites 0)",DROPPED (tie)
line current max,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
line i max,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
phase current max,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
ph currentmax,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
ph i max,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
phase i max,,"currentPhaseAMax (1; rows 0, sites 0) | currentPhaseBMax (1; rows 0, sites 0) | currentPhaseCMax (1; rows 0, sites 0)",DROPPED (tie)
dehumid demand,,"dehumidDemand (6; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehum demand,,"dehumidDemand (1; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehum dmd,,"dehumidDemand (3; rows 0, sites 0) | dehumidifierDemand (1.5; rows 1, sites 1)",dehumidDemand
dehum req,,"dehumidDemand (3; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehumid req,,"dehumidDemand (3; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehmd demand,,"dehumidDemand (4; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehumidifier demand,,"dehumidDemand (4; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehumd demand,,"dehumidDemand (3; rows 0, sites 0) | dehumidifierDemand (0.5; rows 0, sites 0)",dehumidDemand
dehum sp,,"dehumidSp (5; rows 0, sites 0) | zoneHumiditySp (1; rows 1, sites 1)",dehumidSp
supply air dpt hi limit,,"dischargeDewpointHiAlarm (1; rows 0, sites 0) | dischargeDewpointHiSp (1; rows 0, sites 0)",DROPPED (override)
sup dpt hi limit,,"dischargeDewpointHiAlarm (1; rows 0, sites 0) | dischargeDewpointHiSp (1; rows 0, sites 0)",DROPPED (override)
discharge dpt hi thresh,,"dischargeDewpointHiAlarm (1; rows 0, sites 0) | dischargeDewpointHiSp (1; rows 0, sites 0)",dischargeDewpointHiSp (override)
supply fan hz,,"dischargeFanFrequency (2; rows 0, sites 0) | dischargeFanSpeed (1; rows 0, sites 0)",dischargeFanFrequency (override)
saf out,,"dischargeFan (1; rows 1, sites 1) | dischargeFanSpeed (1; rows 0, sites 0)",dischargeFan
sf spd,,"dischargeFanSpeed (36.0134; rows 347, sites 4) | dischargeFanSpeedFb (8.78876; rows 32, sites 3) | dischargeFanFrequency (2.64575; rows 7, sites 1)",dischargeFanSpeed
sf spd sp,,"dischargeFanSpeedFb (1; rows 1, sites 1) | dischargeFanSpeedSp (1; rows 0, sites 0)",dischargeFanSpeedFb
ef status,,"exhaustFanStatus (6.31662; rows 15, sites 2) | exhaustFan (1; rows 1, sites 1)",exhaustFanStatus
ea fan cmd,,"exhaustFanEnable (3; rows 0, sites 0) | exhaustFan (1; rows 1, sites 1)",exhaustFanEnable
eaf cmd,,"exhaustFan (1; rows 1, sites 1) | exhaustFanEnable (1; rows 0, sites 0)",exhaustFan
ra dmp,,"reliefDamper (7.61577; rows 58, sites 1) | returnDamper (6.44949; rows 10, sites 2) | exhaustDamper (4.89898; rows 24, sites 1)",reliefDamper
ra fan out,,"returnFan (1; rows 0, sites 0) | returnFanSpeed (1; rows 0, sites 0)",returnFanSpeed (override)
ra fan sig,,"returnFanSpeed (1.73205; rows 3, sites 1) | returnFan (1; rows 0, sites 0)",returnFanSpeed
zn co2 max sp,,"zoneCO2HiSp (1; rows 0, sites 0) | zoneCO2MaxSp (0.5; rows 0, sites 0)",zoneCO2HiSp
zn hi co2 trip,,"zoneCO2HiSp (1; rows 0, sites 0) | zoneCO2Alarm (1; rows 0, sites 0)",DROPPED (override)
stm vlv,,"heatingValve (2.44949; rows 6, sites 1) | heatingValveTwoThird (1.73205; rows 3, sites 1) | steamValve (1; rows 0, sites 0)",heatingValve
steam valve,,"heatingValve (4.89898; rows 24, sites 1) | priValveOneThird (3.4641; rows 12, sites 1) | priValveTwoThird (3.4641; rows 12, sites 1) | steamValve (3; rows 0, sites 0)",heatingValve
steam valve cmd,,"heatingValve (2.23607; rows 5, sites 1) | steamValve (2; rows 0, sites 0)",heatingValve
steamvlv cmd,,"heatingValveOneThird (1.41421; rows 2, sites 1) | heatingValveTwoThird (1.41421; rows 2, sites 1) | steamValve (1; rows 0, sites 0)",DROPPED (tie)
stm vlv pos cmd,,"priHeatingValve (1.41421; rows 2, sites 1) | steamValve (1; rows 0, sites 0)",priHeatingValve
hw pmp cmd,,"heatingCoilPump (11.2582; rows 53, sites 2) | secPump (7.54473; rows 19, sites 3)",heatingCoilPump
hw pmp sts,,"heatingCoilPumpStatus (11.2582; rows 53, sites 2) | secPumpStatus (7.84784; rows 21, sites 3) | priPumpStatus (1.41421; rows 2, sites 1)",heatingCoilPumpStatus
hw pump status,,"heatingCoilPumpStatus (2.41421; rows 2, sites 1) | priPumpStatus (1.41421; rows 2, sites 1)",heatingCoilPumpStatus
chwr t,,"evapEnteringTemp (4.41421; rows 6, sites 2) | secEnteringTemp (3; rows 5, sites 2)",evapEnteringTemp
chilled water return temp,,"coolingCoilLeavingTemp (2; rows 4, sites 1) | evapEnteringTemp (1; rows 0, sites 0)",coolingCoilLeavingTemp
chw ret tmp,,"priEnteringTemp (1; rows 1, sites 1) | secEnteringTemp (1; rows 1, sites 1) | evapEnteringTemp (1; rows 0, sites 0)",DROPPED (tie)
chw ret t,,"secEnteringTemp (1; rows 1, sites 1) | evapEnteringTemp (1; rows 0, sites 0)",secEnteringTemp
chwr tmp,,"secEnteringTemp (10.3948; rows 41, sites 4) | evapEnteringTemp (3.23607; rows 5, sites 1) | priReturnTemp (1; rows 1, sites 1)",secEnteringTemp
