text,old_resolution,new_resolution,changed,n_labels,rows_at_stake,old_score,new_score,n_sites_old,n_sites_new,synth_gen_old,synth_gen_new,per_site_rows,val_gold,test_gold,decision
hx cwr temp,DROPPED (tie),priLeavingTemp,True,2,2,,1.0,,1,,0/0,"{'priLeavingTemp': {'N4-Integ01': 1}, 'condLeavingTemp': {'N4-Integ02': 1}}",,,
hx cws temp,DROPPED (tie),priEnteringTemp,True,2,2,,1.0,,1,,0/0,"{'priEnteringTemp': {'N4-Integ01': 1}, 'condEnteringTemp': {'N4-Integ02': 1}}",,,
hx cw iso vlv opn,DROPPED (tie),priLeavingIsoValveFb,True,2,2,,1.0,,1,,0/0,"{'priLeavingIsoValveFb': {'N4-Integ01': 1}, 'twrBypassValveFb': {'N4-Integ01': 1}}",,,
schw dp sp,DROPPED (tie),secLeavingPressureSp,True,2,2,,1.0,,1,,0/0,"{'secPressureDeltaSp': {'N4-Integ01': 1}, 'secLeavingPressureSp': {'N4-Integ02': 1}}",,,
act sp,DROPPED (tie),priLeavingTempSp,True,2,2,,1.0,,1,,0/0,"{'priLeavingTempSp': {'N4-Integ02': 1}, 'secLeavingTempSp': {'N4-Integ02': 1}}",,,
cur hw sup tmp sp,DROPPED (tie),priLeavingTempSp,True,2,2,,1.0,,1,,0/0,"{'priLeavingTempSp': {'N4-Integ02': 1}, 'secLeavingTempSp': {'N4-Integ02': 1}}",,,
flow rate,DROPPED (tie),condLeavingFlowTotal,True,3,2,,1.0,,1,,0/0,"{'condLeavingFlowTotal': {'N4-Integ02': 1}, 'twrEnteringFlow': {'N4-Integ02': 1}, 'flow': {}}",,,
ma dmp min pos,DROPPED (tie),minOutsideDamper,True,2,2,,1.0,,1,,0/0,"{'minOutsideDamper': {'N4-Integ02': 1}, 'minOutsideDamperFb': {'N4-Integ02': 1}}",,,
supply fan spd cmd,DROPPED (tie),dischargeFanSpeed,True,2,2,,1.0,,1,,0/0,"{'dischargeFanSpeed': {'N4-Integ02': 1}, 'dischargeFan': {'N4-Integ02': 1}}",,,
af w cmd,DROPPED (tie),returnFan,True,2,2,,1.0,,1,,0/0,"{'dischargeFan': {'N4-Integ03': 1}, 'returnFan': {'N4-Integ03': 1}}",,,
htg tmp sp,DROPPED (tie),heatSp,True,2,2,,1.0,,1,,0/0,"{'heatSp': {'N4-Integ03': 1}, 'dischargeTempHeatSp': {'N4-Integ04': 1}}",,,
oa byp dmp cmd,DROPPED (tie),bypassDamper,True,2,2,,1.0,,1,,0/0,"{'bypassDamper': {'N4-Integ03': 1}, 'outsideIsoDamper': {'N4-Integ03': 1}}",,,
ra static sp,DROPPED (tie),returnPressureSp,True,2,2,,1.0,,1,,0/0,"{'returnPressure': {'N4-Integ03': 1}, 'returnPressureSp': {'N4-Integ03': 1}}",,,
chiller enable spt,DROPPED (tie),systemEnableSp,True,2,1,,1.0,,1,,0/0,"{'chillerEnableSp': {}, 'systemEnableSp': {'N4-Integ02': 1}}",,,
heating setpoint,DROPPED (tie),priLeavingTempSp,True,2,1,,1.0,,1,,0/0,"{'heatingEnableSp': {}, 'priLeavingTempSp': {'N4-Integ03': 1}}",,,
heat setpt,DROPPED (tie),zoneHeatSp,True,2,1,,1.0,,1,,0/0,"{'heatingEnableSp': {}, 'zoneHeatSp': {'N4-Integ01': 1}}",,,
min oa,DROPPED (tie),outsideDamperMinSp,True,2,1,,1.0,,1,,0/0,"{'minOutsideDamper': {}, 'outsideDamperMinSp': {'N4-Integ02': 1}}",,,
min oa spt,DROPPED (tie),outsideFlowMinSp,True,2,1,,1.0,,1,,0/0,"{'minOutsideDamperMinSp': {}, 'outsideFlowMinSp': {'N4-Integ02': 1}}",,,
chw ena,DROPPED (tie),systemEnable,True,2,1,,1.0,,1,,0/0,"{'coolingStatus': {}, 'systemEnable': {'N4-Integ01': 1}}",,,
cur,DROPPED (tie),condPumpCurrent,True,2,1,,1.0,,1,,0/0,"{'current': {}, 'condPumpCurrent': {'N4-Integ03': 1}}",,,
saf out,DROPPED (tie),dischargeFan,True,2,1,,1.0,,1,,0/0,"{'dischargeFanSpeed': {}, 'dischargeFan': {'N4-Integ03': 1}}",,,
sf spd sp,DROPPED (tie),dischargeFanSpeedFb,True,2,1,,1.0,,1,,0/0,"{'dischargeFanSpeedSp': {}, 'dischargeFanSpeedFb': {'N4-Integ03': 1}}",,,
eaf cmd,DROPPED (tie),exhaustFan,True,2,1,,1.0,,1,,0/0,"{'exhaustFanEnable': {}, 'exhaustFan': {'N4-Integ04': 1}}",,,
chw ret t,DROPPED (tie),secEnteringTemp,True,2,1,,1.0,,1,,0/0,"{'evapEnteringTemp': {}, 'secEnteringTemp': {'N4-Integ01': 1}}",,,
chwrt,DROPPED (tie),secEnteringTemp,True,2,1,,1.0,,1,,0/0,"{'evapEnteringTemp': {}, 'secEnteringTemp': {'N4-Integ02': 1}}",,,
chill water supply temp,DROPPED (tie),priLeavingTemp,True,2,1,,1.0,,1,,0/0,"{'evapLeavingTemp': {}, 'priLeavingTemp': {'N4-Integ01': 1}}",,,
hw sup temp,DROPPED (tie),secLeavingTemp,True,2,1,,1.0,,1,,0/0,"{'heatingCoilLeavingTemp': {}, 'secLeavingTemp': {'N4-Integ02': 1}}",,,
hw supply temp,DROPPED (tie),secLeavingTemp,True,2,1,,1.0,,1,,0/0,"{'heatingCoilLeavingTemp': {}, 'secLeavingTemp': {'N4-Integ03': 1}}",,,
hot water supply temp,DROPPED (tie),priLeavingTemp,True,2,1,,1.0,,1,,0/0,"{'heatingCoilLeavingTemp': {}, 'priLeavingTemp': {'N4-Integ02': 1}}",,,
hot water return temp,DROPPED (tie),priEnteringTemp,True,2,1,,1.0,,1,,0/0,"{'heatingCoilEnteringTemp': {}, 'priEnteringTemp': {'N4-Integ02': 1}}",,,
rm clg sp,DROPPED (tie),zoneTempSp,True,2,1,,1.0,,1,,0/0,"{'zoneCoolSp': {}, 'zoneTempSp': {'N4-Integ03': 1}}",,,
damper ovr,DROPPED (tie),damper,True,2,1,,1.0,,1,,0/0,"{'dischargeDamperOvr': {}, 'damper': {'N4-Integ02': 1}}",,,
particulate zn,DROPPED (tie),zonePM25,True,2,0,,1.0,,0,,1/0,"{'zonePM4': {}, 'zonePM25': {}}",,,
zn pm,DROPPED (tie),zonePM1,True,2,0,,1.0,,0,,1/0,"{'zonePM10': {}, 'zonePM1': {}}",,,
ct ent flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
ct enter flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
ct entering flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
ct entering flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
ct entering flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
ct entr flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower ent flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower ent flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower ent flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower enter flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower enter flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower enter flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entering flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entering flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entering flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entr flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entr flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
tower entr flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr ent flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr ent flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr ent flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr enter flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr enter flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr enter flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entering flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entering flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entering flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entr flo,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entr flow,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
twr entr flw,DROPPED (tie),twrEnteringFlow,True,2,0,,0.5,,0,,0/1,"{'twrEnteringFlow': {}, 'twrLeavingFlow': {}}",,,
rm tmp,zoneTemp,zoneTemp,False,2,7173,7174.0,42.0,4,4,2/0,2/0,"{'zoneTemp': {'N4-Integ01': 242, 'N4-Integ02': 1930, 'N4-Integ03': 1798, 'N4-Integ04': 3202}, 'returnTemp': {'N4-Integ03': 1}}",zoneTemp,N4-Integ06:zoneTemp,
sa tmp,dischargeTemp,dischargeTemp,False,3,5240,5227.0,40.0,4,4,0/0,0/0,"{'dischargeTemp': {'N4-Integ01': 262, 'N4-Integ02': 1642, 'N4-Integ03': 1638, 'N4-Integ04': 1685}, 'coldDeckDischargeTemp': {'N4-Integ02': 2}, 'zoneHumidity': {'N4-Integ02': 11}}",dischargeTemp,N4-Integ06:dischargeTemp,
damper pos,dischargeDamper,dischargeDamper,False,6,4044,3084.0,30.0,3,3,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 1691, 'N4-Integ02': 363, 'N4-Integ03': 1030}, 'damper': {'N4-Integ02': 2, 'N4-Integ03': 46}, 'damperFb': {'N4-Integ02': 2}, 'dischargeDamperFb': {'N4-Integ02': 663}, 'coldDeckDamper': {'N4-Integ03': 242}, 'outsideDamperFb': {'N4-Integ03': 5}}",,,
zn t,zoneTemp,zoneTemp,False,3,2843,2822.0,40.539,4,4,1/0,1/0,"{'zoneTemp': {'N4-Integ01': 91, 'N4-Integ02': 389, 'N4-Integ03': 714, 'N4-Integ04': 1627}, 'returnTemp': {'N4-Integ04': 6}, 'zoneTempAvg': {'N4-Integ04': 16}}",zoneTemp,,
