site,name,equip_path,device_name,object_type,units,value_kind,description,label_raw,label,rows
Motorola_Points,AI 00,,north classroom large,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,north classroom small,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,north labratory,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw conference,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw focus,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,nw open office,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw open office,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,nw open office nw copy,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw sm conference,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,nw sm confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,office,ai,,analog,,zoneTemp,zoneTemp,11
Motorola_Points,AI 00,,office,ai,,analog,Room temp,zoneTemp,zoneTemp,14
Motorola_Points,AI 00,,open area,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,open office,ai,,analog,,zoneTemp,zoneTemp,7
Motorola_Points,AI 00,,open office,ai,,analog,Room temp,zoneTemp,zoneTemp,17
Motorola_Points,AI 00,,pantry,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,pantry hub room,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,rooms,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,s open office,ai,,analog,Room temp,zoneTemp,zoneTemp,5
Motorola_Points,AI 00,,s open office copy,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,se focus,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,se open office,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,se sm conference,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,seating area,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,slave to,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,south classroom large,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,south classroom small,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,sr mgr,ai,,analog,,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,sr mgr,ai,,analog,Room temp,zoneTemp,zoneTemp,5
Motorola_Points,AI 00,,sr mgr sr mgr,ai,,analog,Room temp,zoneTemp,zoneTemp,4
Motorola_Points,AI 00,,sr mgr storage,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,storage,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,sw focus,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,sw open office,ai,,analog,Room temp,zoneTemp,zoneTemp,6
Motorola_Points,AI 00,,sw pantry hub,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,sw sm conference,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,sw sm confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,th floor north,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,th floor south lab,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,th floor south labratory,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,vav,ai,,analog,Room temp,zoneTemp,zoneTemp,19
Motorola_Points,AI 00,,vav add,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,vav is slave from,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,w med conference,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,w med confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,w vestibule el lobby,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,w vestibules,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,west vesitbule,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,west vestibule,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,women s bathroom,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,women s room,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 000,,dev,ai,,analog,CW Return Temp,twrEnteringTemp,twrEnteringTemp,1
Motorola_Points,AI 01,,ahu,ai,,analog,ChWS temp,evapLeavingTemp,evapLeavingTemp,2
Motorola_Points,AI 01,,ahu s3,ai,,analog,MAT,mixedTemp,mixedTemp,1
Motorola_Points,AI 01,,ahu s4,ai,,analog,MAT,mixedTemp,mixedTemp,1
Motorola_Points,AI 01,,annex ll data aire ups,ai,,analog,DA Temp East,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 01,,annex st fl data aire,ai,,analog,DA Temp East,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 01,,chiller,ai,,analog,,evapLeavingTemp,evapLeavingTemp,1
Motorola_Points,AI 01,,chiller,ai,,analog,ChWS temp,evapLeavingTemp,evapLeavingTemp,1
Motorola_Points,AI 01,,hw system p p,ai,,analog,,secEnteringTemp,secEnteringTemp,1
Motorola_Points,AI 01,,hx system,ai,,analog,,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI 02,,ahu s3,ai,,analog,DAT,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,ahu s4,ai,,analog,DAT,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,annex basement,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,16
Motorola_Points,AI 02,,annex ll data aire ups,ai,,analog,DA Temp West,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,annex st fl data aire,ai,,analog,DA Temp West,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,annex st floor,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,6
Motorola_Points,AI 02,,cav,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,corridor,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,executive conference room,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,2
Motorola_Points,AI 02,,foc,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,hx system,ai,,analog,,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI 02,,laura s stat,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,lobby meeting rm,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,men s bathroom,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,noc soc foc,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,4
Motorola_Points,AI 02,,north classroom large,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,north lobby sp t from ai,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,office,ai,,analog,,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,office,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,12
Motorola_Points,AI 02,,rooms,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,slave from,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,12
Motorola_Points,AI 02,,slave to,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,6
Motorola_Points,AI 02,,slv from,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,slv vlv damper locked feeds vest,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,south classroom large,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,south lobby sp t from ai,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,sp t from ai,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,storage,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,th floor north,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,vav,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,18
Motorola_Points,AI 02,,vav is slave from,ai,,analog,,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 02,,women s bathroom,ai,,analog,Discharge air temperature,dischargeTemp,dischargeTemp,1
Motorola_Points,AI 03,,ahu s3,ai,,analog,Static,dischargePressure,dischargePressure,1
Motorola_Points,AI 03,,ahu s4,ai,,analog,Static,dischargePressure,dischargePressure,1
Motorola_Points,AI 03,,annex ll way from p,ai,,analog,ChWDP (P-15C),secPressureDelta,secPressureDelta,1
Motorola_Points,AI 03,,hx system,ai,,analog,,secEnteringTemp,secEnteringTemp,1
Motorola_Points,AI 05,,ahu s3,ai,,analog,RARH,returnHumidity,returnHumidity,1
Motorola_Points,AI 05,,ahu s4,ai,,analog,RARH,returnHumidity,returnHumidity,1
Motorola_Points,AI 06,,ahu s3,ai,,analog,DARH,dischargeHumidity,dischargeHumidity,1
Motorola_Points,AI 06,,ahu s4,ai,,analog,DARH,dischargeHumidity,dischargeHumidity,1
Motorola_Points,AI 08,,annex nd fl mech room,ai,,analog,HWST Main,priLeavingTemp,priLeavingTemp,1
Motorola_Points,AI 09,,annex nd fl mech room,ai,,analog,HWST RAD,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI 10,,annex basement,ai,,analog,,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,annex basement,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,17
Motorola_Points,AI 10,,annex nd fl mech room,ai,,analog,HWST SEC,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI 10,,annex st floor,ai,,analog,,dischargeFlow,dischargeFlow,10
Motorola_Points,AI 10,,annex st floor,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,8
Motorola_Points,AI 10,,cav,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,conference room,ai,,analog,,dischargeFlow,dischargeFlow,6
Motorola_Points,AI 10,,conference room,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,11
Motorola_Points,AI 10,,corridor,ai,,analog,,dischargeFlow,dischargeFlow,7
Motorola_Points,AI 10,,corridor,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,e med conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,e med confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,e vestibule,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,e vestibule el lobby,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,east vestibule,ai,,analog,,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,elevator lobby,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,enclave,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,evidence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,evp,ai,,analog,,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,evp,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,10
Motorola_Points,AI 10,,executive conference room,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,file rm,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,foc,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,focus,ai,,analog,,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,focus room,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,focus room,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,hub,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,idf equipment room,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,labratory,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,laura s stat,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,lobby meeting rm,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,men s bathroom,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,mgr mgr,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,4
Motorola_Points,AI 10,,n open office,ai,,analog,,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,n open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,14
Motorola_Points,AI 10,,n open office ne pantry,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,n open office ne pantry,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,ne focus,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,ne open office,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,ne open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,5
Motorola_Points,AI 10,,ne sm conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,ne sm confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,noc soc foc,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,4
Motorola_Points,AI 10,,north classroom large,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,north classroom small,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,north labratory,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,north lobby sp t from ai,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,north open office,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,north open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw conference,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw focus,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,nw open office,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,6
Motorola_Points,AI 10,,nw open office nw copy,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw sm conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,nw sm confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,office,ai,,analog,,dischargeFlow,dischargeFlow,11
Motorola_Points,AI 10,,office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,14
Motorola_Points,AI 10,,open area,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,open office,ai,,analog,,dischargeFlow,dischargeFlow,10
Motorola_Points,AI 10,,open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,23
Motorola_Points,AI 10,,pantry,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,pantry hub room,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,rooms,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,s open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,18
Motorola_Points,AI 10,,s open office copy,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,se focus,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,se open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,6
Motorola_Points,AI 10,,se sm conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,seating area,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,slave from,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,12
Motorola_Points,AI 10,,slave to,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,6
Motorola_Points,AI 10,,slv from,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,slv vlv damper locked feeds vest,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,south classroom large,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,south classroom small,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,south lobby sp t from ai,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,south open office,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sp t from ai,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sr mgr,ai,,analog,,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,sr mgr,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,5
Motorola_Points,AI 10,,sr mgr sr mgr,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,4
Motorola_Points,AI 10,,sr mgr storage,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,storage,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sw focus,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,3
Motorola_Points,AI 10,,sw open office,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,10
Motorola_Points,AI 10,,sw open offiec,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sw pantry hub,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sw sm conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,sw sm confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,th floor north,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,th floor south lab,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,th floor south labratory,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,vav,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,19
Motorola_Points,AI 10,,vav add,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,vav is slave from,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,w med conference,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,2
Motorola_Points,AI 10,,w med confrence,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,4
Motorola_Points,AI 10,,w vestibule el lobby,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,w vestibules,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,west vesitbule,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,west vestibule,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,women s bathroom,ai,,analog,Airflow sensor,dischargeFlow,dischargeFlow,1
Motorola_Points,AI 10,,women s room,ai,,analog,,dischargeFlow,dischargeFlow,1
Motorola_Points,AI-005,,chill water system,ai,,analog,ChW_DP (P-1;P-2),secPressureDelta,secPressureDelta,1
Motorola_Points,AI-007,,chill water system,ai,,analog,ChWS_temp,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI-008,,chill water system,ai,,analog,ChWR_temp,secEnteringTemp,secEnteringTemp,1
Motorola_Points,AI-013,,ahu s,ai,,analog,HWST,secLeavingTemp,secLeavingTemp,1
Motorola_Points,AI-014,,ahu s,ai,,analog,HWRT,secEnteringTemp,secEnteringTemp,1
Motorola_Points,AI-015,,ahu s,ai,,analog,PMP DP,secPressureDelta,secPressureDelta,1
Motorola_Points,AO 00,,ahu,ao,,analog,CW Valve signal,condBypassValve,condBypassValve,2
Motorola_Points,AO 00,,annex ll way from p,ao,,analog,ChWP-15C speed,secPumpSpeed,secPumpSpeed,1
Motorola_Points,AO 00,,chiller,ao,,analog,,condBypassValve,condBypassValve,1
Motorola_Points,AO 00,,chiller,ao,,analog,CW Valve signal,condBypassValve,condBypassValve,1
Motorola_Points,AO 00,,hw system p p,ao,,analog,,secValve,secValve,1
Motorola_Points,AO 006,,chill water system,ao,,analog,,secPumpSpeed,secPumpSpeed,1
Motorola_Points,AO 01,,ahu,ao,,analog,Demand signal,chillerDemand,chillerDemand,2
Motorola_Points,AO 01,,ahu s3,ao,,analog,ChW Valve,coolingValve,coolingValve,1
Motorola_Points,AO 01,,ahu s4,ao,,analog,ChW Valve,coolingValve,coolingValve,1
Motorola_Points,AO 01,,chiller,ao,,analog,,chillerDemand,chillerDemand,1
Motorola_Points,AO 01,,chiller,ao,,analog,Demand signal,chillerDemand,chillerDemand,1
Motorola_Points,AO 01,,hw system p p,ao,,analog,,secValve,secValve,1
Motorola_Points,AO 02,,ahu s3,ao,,analog,SF VFD,dischargeFanSpeed,dischargeFanSpeed,1
Motorola_Points,AO 02,,ahu s4,ao,,analog,SF VFD,dischargeFanSpeed,dischargeFanSpeed,1
Motorola_Points,AO-000,,ahu s,ao,,analog,OA Dmpr Output,outsideDamper,outsideDamper,1
Motorola_Points,AO-000,,chill water system,ao,,analog,ChWP1_speed,secPumpSpeed,secPumpSpeed,1
