site,text,label,token,side,family,position,majority_convention_position,verdict,rows,decision
N4-Integ03,ct cws flw rat,twrLeavingFlow,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws flw rat,twrLeavingFlow,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv pos,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv pos,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws iso vlv pos,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,cw cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ03,cw cws stpt,condEnteringTempSp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ03,cw cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ03,t12 cws sp,twrLeavingTempSp,cws,supply,twr,leaving,entering,minority,2,
N4-Integ03,ut cws cwr tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ04,cdws sp,condEnteringTempSp,cdws,supply,cond,entering,leaving,minority,1,
N4-Integ04,com cw ret tmp,condLeavingTemp,cw ret,return,cond,leaving,entering,minority,1,
N4-Integ04,com cw sup tmp,condEnteringTemp,cw sup,supply,cond,entering,leaving,minority,1,
N4-Integ04,ct cwr tmp virt,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ct cws t,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ct cws t,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ct cws t,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ct cws tmp sp,twrLeavingTempSp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ct cws tmp virt,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cwr v c,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cwr v c,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cwr v c,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cwr v fdbk,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cwr v fdbk,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cwr v fdbk,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
N4-Integ04,ctf cws v c,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cws v c,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cws v c,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cws v fdbk,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cws v fdbk,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,ctf cws v fdbk,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,1,
N4-Integ04,cw sup tmp,twrLeavingTemp,cw sup,supply,twr,leaving,entering,minority,1,
N4-Integ04,cwr flow,condLeavingFlow,cwr,return,cond,leaving,entering,minority,1,
N4-Integ04,cwr t,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ04,cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ04,cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ04,cws t,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ04,cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ04,cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ04,hr ch cwr temp sp,condLeavingTempSp,cwr,return,cond,leaving,entering,minority,3,
N4-Integ05,cw ret tmp,twrEnteringTemp,cw ret,return,twr,entering,leaving,minority,1,
N4-Integ05,cw sup sp active,twrLeavingTempSp,cw sup,supply,twr,leaving,entering,minority,1,
N4-Integ05,cwr iso vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,2,
N4-Integ05,cwr iso vlv opn sts,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,2,
N4-Integ05,cws iso vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,2,
N4-Integ05,cws iso vlv opn sts,twrLeavingIsoValveFb,cws,supply,twr,leaving,entering,minority,2,
N4-Integ06,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cwr vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
N4-Integ06,cws vlv cmd,twrLeavingIsoValve,cws,supply,twr,leaving,entering,minority,1,
Motorola_Points,moto cws ch chw ret temp,evapEnteringTemp,cws,supply,other,entering,,n/a,1,
Motorola_Points,moto cws ch chw ret temp,evapEnteringTemp,cws,supply,other,entering,,n/a,1,
Motorola_Points,moto cws ch chw sup temp,evapLeavingTemp,cws,supply,other,leaving,,n/a,1,
Motorola_Points,moto cws ch chw sup temp,evapLeavingTemp,cws,supply,other,leaving,,n/a,1,
Motorola_Points,moto cws ch col alm,chillerAlarm,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch col alm,chillerAlarm,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch en,chillerEnable,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch en,chillerEnable,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pct rla sh,chillerDemand,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pct rla sh,chillerDemand,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pri chwp ss,evapPumpEnable,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pri chwp ss,evapPumpEnable,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pri chwp sts,evapPumpStatus,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch pri chwp sts,evapPumpStatus,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp spd ctrl,priPumpSpeed,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp spd ctrl,priPumpSpeed,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp ss,priPump,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp ss,priPump,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp sts,priPumpStatus,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp sts,priPumpStatus,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp vfd flt,priPumpFault,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws ch sec chwp vfd flt,priPumpFault,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws chw diff pres sp,priPressureDeltaSp,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws chw sys en,systemEnable,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws chwp min spd,priPumpSpeedMinSp,cws,supply,other,-,,n/a,1,
Motorola_Points,moto cws chws temp sp,priLeavingPressureSp,cws,supply,other,leaving,,n/a,1,
Motorola_Points,moto cws oa temp en sp,systemEnableSp,cws,supply,other,-,,n/a,1,
N4-Integ01,chlr cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ01,chlr cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ01,cw sup temp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ01,hx cwr temp,priLeavingTemp,cwr,return,other,leaving,,n/a,1,
N4-Integ01,hx cws temp,priEnteringTemp,cws,supply,other,entering,,n/a,1,
N4-Integ01,sp cw sup temp,condLeavingTempSp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ01,ut chws cws tmp sp,secLeavingTempSp,cws,supply,other,leaving,,n/a,1,
N4-Integ02,cur cw sup tmp sp,secLeavingTempSp,cw sup,supply,other,leaving,,n/a,1,
N4-Integ02,cw cws tmp sp,condTempSp,cws,supply,cond,-,leaving,n/a,1,
N4-Integ02,cw ret tmp,condEnteringTemp,cw ret,return,cond,entering,entering,majority,1,
N4-Integ02,cw sup tmp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cw sup tmp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cwr sp,secEnteringTempSp,cwr,return,other,entering,,n/a,1,
N4-Integ02,cwr t,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ02,cwr t,secEnteringTemp,cwr,return,other,entering,,n/a,2,
N4-Integ02,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ02,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,3,
N4-Integ02,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ02,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,4,
N4-Integ02,cwr tmp sp,condEnteringTempSp,cwr,return,cond,entering,entering,majority,1,
N4-Integ02,cwr v,coolingValve,cwr,return,other,-,,n/a,1,
N4-Integ02,cwr v,priLeavingIsoValve,cwr,return,other,leaving,,n/a,1,
N4-Integ02,cwrt,condEnteringTemp,cwrt,return,cond,entering,entering,majority,1,
N4-Integ02,cwrt,condEnteringTemp,cwrt,return,cond,entering,entering,majority,1,
N4-Integ02,cws ena,systemEnable,cws,supply,other,-,,n/a,1,
N4-Integ02,cws flow sts,condFlowStatus,cws,supply,cond,-,leaving,n/a,1,
N4-Integ02,cws flw rat,condLeavingFlow,cws,supply,cond,leaving,leaving,majority,3,
N4-Integ02,cws flw rat,condLeavingFlow,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws flw rat,condLeavingFlow,cws,supply,cond,leaving,leaving,majority,4,
N4-Integ02,cws flw rat,condLeavingFlow,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws flw rat,condLeavingFlow,cws,supply,cond,leaving,leaving,majority,2,
N4-Integ02,cws free clg ena,econEnable,cws,supply,other,-,,n/a,1,
N4-Integ02,cws free clg ena sp,econEnableSp,cws,supply,other,-,,n/a,1,
N4-Integ02,cws sp,secLeavingTempSp,cws,supply,other,leaving,,n/a,1,
N4-Integ02,cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws t,secLeavingTemp,cws,supply,other,leaving,,n/a,2,
N4-Integ02,cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws temp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,3,
N4-Integ02,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,4,
N4-Integ02,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,cwst,condLeavingTemp,cwst,supply,cond,leaving,leaving,majority,1,
N4-Integ02,nvi cws temp,dischargeTemp,cws,supply,other,-,,n/a,3,
N4-Integ02,phx cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ02,phx cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ03,cws ct byp vlv cmd,condBypassValve,cws,supply,cond,-,leaving,n/a,1,
N4-Integ03,hx cwr l,priLeavingTemp,cwr,return,other,leaving,,n/a,1,
N4-Integ03,hx cws e,priEnteringTemp,cws,supply,other,entering,,n/a,1,
N4-Integ03,main cwr,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ03,main cws,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ03,ut cws cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ03,ut cws oa rel hum,outsideHumidity,cws,supply,other,-,,n/a,1,
N4-Integ04,ch cwr t,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ04,ch cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ04,ch cwr tmp virt,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ04,ch cwr tmp virt,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ04,ch cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,ch cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,ch cws tmp virt,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,ch cws tmp virt,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,ct cws flw rat tot,condLeavingFlowTotal,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,cwr t,condEnteringTemp,cwr,return,cond,entering,entering,majority,2,
N4-Integ04,cwr t,twrLeavingTemp,cwr,return,twr,leaving,leaving,majority,1,
N4-Integ04,cwr t,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ04,cwrt,condEnteringTemp,cwrt,return,cond,entering,entering,majority,1,
N4-Integ04,cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,2,
N4-Integ04,cws t,twrEnteringTemp,cws,supply,twr,entering,entering,majority,1,
N4-Integ04,cws tmp,priEnteringTemp,cws,supply,other,entering,,n/a,1,
N4-Integ04,hex ct cws t sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ04,hx cws t,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cdws tmp spt,condLeavingTempSp,cdws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,chlr cw sup flw vlv cmd,evapEnteringIsoValve,cw sup,supply,other,entering,,n/a,1,
N4-Integ05,chlr cw sup flw vlv cmd,evapEnteringIsoValve,cw sup,supply,other,entering,,n/a,1,
N4-Integ05,chlr cw sup flw vlv cmd,evapEnteringIsoValve,cw sup,supply,other,entering,,n/a,1,
N4-Integ05,chlr cw sup tmp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ05,chlr cw sup tmp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ05,chlr cw sup tmp,condLeavingTemp,cw sup,supply,cond,leaving,leaving,majority,1,
N4-Integ05,chws cwrt,condEnteringTemp,cwrt,return,cond,entering,entering,majority,1,
N4-Integ05,chws cwrt sp,condEnteringTempSp,cwrt,return,cond,entering,entering,majority,1,
N4-Integ05,ct cdwr tmp,condEnteringTemp,cdwr,return,cond,entering,entering,majority,1,
N4-Integ05,ct cdws tmp,condLeavingTemp,cdws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cwr iso vlv cmd,condBypassValve,cwr,return,cond,-,entering,n/a,1,
N4-Integ05,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ05,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ05,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,3,
N4-Integ05,cws iso vlv cmd,condBypassValve,cws,supply,cond,-,leaving,n/a,1,
N4-Integ05,cws iso vlv cmd,condIsoValve,cws,supply,cond,-,leaving,n/a,1,
N4-Integ05,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,3,
N4-Integ05,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ05,cws tmp sp,twrEnableSp,cws,supply,twr,-,entering,n/a,1,
N4-Integ05,cws vlv cmd,condBypassValve,cws,supply,cond,-,leaving,n/a,1,
N4-Integ05,cws vlv cmd,condBypassValve,cws,supply,cond,-,leaving,n/a,1,
N4-Integ06,chlr cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,chlr cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,chlr cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,chlr cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,chlr cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,chlr cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cwr,condEnteringTemp,cwr,return,cond,entering,entering,majority,3,
N4-Integ06,cwr prs,condEnteringPressure,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,4,
N4-Integ06,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,cws,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,3,
N4-Integ06,cws prs,condLeavingPressure,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,4,
N4-Integ06,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,3,
N4-Integ06,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,cws tmp sp,condLeavingTempSp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,hx a cold cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,hx a cold cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,hx b cold cwr tmp,condEnteringTemp,cwr,return,cond,entering,entering,majority,1,
N4-Integ06,hx b cold cws tmp,condLeavingTemp,cws,supply,cond,leaving,leaving,majority,1,
N4-Integ06,hx cold cwr tmp,priEnteringTemp,cwr,return,other,entering,,n/a,1,
N4-Integ06,hx cold cws tmp,priLeavingTemp,cws,supply,other,leaving,,n/a,1,
N4-Integ06,hx cwr prs,priEnteringPressure,cwr,return,other,entering,,n/a,1,
N4-Integ06,hx cwr tmp,priEnteringTemp,cwr,return,other,entering,,n/a,1,
N4-Integ06,hx cws prs,priLeavingPressure,cws,supply,other,leaving,,n/a,1,
N4-Integ06,hx cws tmp,priLeavingTemp,cws,supply,other,leaving,,n/a,1,
