text,context,context_label,name_only_label,rows
out,eq vav eff clg sp | unit degf | kind analog,zoneCoolSp,zoneTemp,71
out,eq vav effect sp | unit degf | kind analog,zoneTempSp,zoneTemp,71
out,eq vav inlet dpr cmd | unit percent | kind analog,dischargeDamper,zoneTemp,71
out,eq vav inlet air vol | unit cfm | kind analog,dischargeFlow,zoneTemp,71
out,eq vav inlet air vol sp | unit cfm | kind analog,dischargeFlowSp,zoneTemp,71
clg flow min,eq t us vav | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,69
clg flow max,eq t us vav | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,69
heat cool,eq t us vav | unit cool | kind binary,heatingEnable,hvacMode,66
htg vlv pos,eq bj a vs | unit percent | kind analog,heatingValveFb,heatingValve,66
out,eq vav unit status | unit true | kind binary,occupancyMode,zoneTemp,66
d,eq nd flr vav | unit percent | kind analog,dischargeDamper,damper,64
zn t sp clg,eq nd flr vav | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,64
zn t sp htg,eq nd flr vav | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,64
zn t sp htg,eq st flr vav | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,63
zn t sp clg,eq st flr vav | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,63
d,eq st flr vav | unit percent | kind analog,dischargeDamper,damper,63
damper pos,eq ahu sdva vs | unit percent | kind analog,coldDeckDamper,dischargeDamper,60
air flow,eq ahu | unit percent | kind analog,dischargeDamperFb,dischargeFlow,59
out,eq fpb eff htg sp | unit degf | kind analog,zoneHeatSp,zoneTemp,58
out,eq fpb inlet air vol sp | unit cfm | kind analog,dischargeFlowSp,zoneTemp,58
out,eq fpb htg stg cmd | unit percent | kind analog,heatingValve,zoneTemp,58
out,eq fpb inlet dpr cmd | unit percent | kind analog,dischargeDamper,zoneTemp,58
out,eq fpb effect sp | unit degf | kind analog,zoneTempSp,zoneTemp,58
out,eq fpb unit status | unit true | kind binary,occupiedMode,zoneTemp,58
out,eq fpb sa tmp sp | unit degf | kind analog,dischargeTempSp,zoneTemp,58
out,eq fpb inlet air vol | unit cfm | kind analog,dischargeFlow,zoneTemp,58
out,eq fpb sa tmp | unit degf | kind analog,dischargeTemp,zoneTemp,58
out,eq fpb eff clg sp | unit degf | kind analog,zoneCoolSp,zoneTemp,58
out,eq fpb fan cmd | unit true | kind binary,dischargeFan,zoneTemp,57
out,eq fpb fan sts | unit on | kind binary,dischargeFanStatus,zoneTemp,57
out,eq vav multiply | unit percent | kind analog,dischargeDamperFb,zoneTemp,56
max inlet air flw sp,eq vav n s ps | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowMaxSp,55
clg air flow,eq vav | unit cfm | kind analog,dischargeFlow,coldDeckDischargeFlow,54
cd dmp pos,eq flr s sys vav | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,51
nci max flow,eq ncfb b ninth floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,48
nci max flow,eq ncfb c ninth floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,46
out,eq vav occ clg sp | unit degf | kind analog,occupiedCoolSp,zoneTemp,46
nci max flow,eq ncfb a ninth floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,46
out,eq vav occ htg sp | unit degf | kind analog,occupiedHeatSp,zoneTemp,46
out,eq vav uoc htg sp | unit degf | kind analog,unoccupiedHeatSp,zoneTemp,46
out,eq vav uoc clg sp | unit degf | kind analog,unoccupiedCoolSp,zoneTemp,46
out,eq vav inlet dpr pos | unit percent | kind analog,dischargeDamperFb,zoneTemp,46
nci max flow,eq ncfb a public level a pl i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,45
rhc vlv cmd,eq f1 outputs | unit percent | kind analog,heatingValve,reHeatingValve,43
heat cool,eq ahu vav dd | unit heat | kind binary,heatingEnable,hvacMode,41
bldg st prs,eq flr s ahu sys | unit inwc | kind analog,buildingPressureSp,buildingPressure,41
bldg st prs,eq flr n ahu sys | unit inwc | kind analog,buildingPressureSp,buildingPressure,40
htg o,eq dole ftu | unit percent | kind analog,heatingStageMod,heatingValve,40
ctl temp,eq air handling systems t us | unit degf | kind analog,zoneTempSp,zoneTemp,39
hw vlv pos,eq ahu vav | unit percent | kind analog,heatingValveFb,heatingValve,39
zn t sp htg,eq rd flr vav | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,38
nci max flow,eq ncfb b public level b pl c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,38
vlv comd,eq level fcu | unit percent | kind analog,coolingValve,heatingValve,38
vlv pos,eq level fcu | unit percent | kind analog,coolingValveFb,heatingValveFb,38
zn t sp clg,eq rd flr vav | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,38
nci max flow,eq ncfb c third floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,38
d,eq rd flr vav | unit percent | kind analog,dischargeDamper,damper,38
speed feedback,eq s ef vfd | unit percent | kind analog,returnFanSpeedFb,dischargeFanSpeedFb,33
clg load,eq vav up | unit percent | kind analog,zoneCoolingDemand,coolingDemand,31
vlv pos,eq t us acb | unit percent | kind analog,waterValveFb,heatingValveFb,31
vlv comd,eq t us acb | unit percent | kind analog,waterValve,heatingValve,31
htg load,eq vav up | unit percent | kind analog,zoneHeatingDemand,heatingDemand,31
nci max flow,eq ncfb c second floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,30
nci max flow,eq ncfb c public level c pl c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,30
vav clg dmd,eq ddb | unit percent | kind analog,coldDeckDamper,coolingDemand,29
max inlet air flw sp,eq vav s s ps | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowMaxSp,29
vav htg dmd,eq ddb | unit percent | kind analog,hotDeckDamper,heatingDemand,29
min cl vol sp,eq flr east vav | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,28
max cl vol sp,eq flr east vav | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,28
dmp pos,eq flr east vav | unit percent | kind analog,damper,dischargeDamper,28
min ht vol sp,eq flr east vav | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowHeatMinSp,28
nci max flow,eq ncfb c sixth floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,28
nci max flow,eq ncfb c seventh floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,28
heat cool,eq t us | unit heat | kind binary,heatingEnable,hvacMode,27
nci max flow,eq ncfb b seventh floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,27
nci max flow,eq ncfb b third floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
nci max flow,eq ncfb b fith floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
damper pos,eq atu | unit percent | kind analog,damper,dischargeDamper,26
nci max flow,eq ncfb a eight floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
nci min flow,eq us attorneys va vs vav | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,26
nci max flow,eq ncfb c fourth floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
max flow,eq atu | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
nci max flow,eq ncfb b eighth floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
nci max flow,eq ncfb a fifth floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
cc vlv pos,eq ahu | unit percent | kind analog,coolingValveFb,coolingValve,26
nci max flow,eq ncfb a seventh floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,26
nci max flow,eq ncfb b third floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,25
nci max flow,eq ncfb a second floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,25
nci max flow,eq ncfb a third floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,25
damper pos,eq fvav | unit percent | kind analog,dischargeDamperFb,dischargeDamper,25
out,eq vav htg stg cmd | unit percent | kind analog,heatingValve,zoneTemp,25
nci max flow,eq ncfb b fourth floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,25
nci max flow,eq ncfb b fourth floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,25
nci max flow,eq ncfb b sixth floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb b sixth floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb c fifth floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
min flow sp,eq v floor vav | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,24
nci max flow,eq ncfb b fith floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb b seventh floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb a public level a pl c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb a fourth floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb a sixth floor a i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
nci max flow,eq ncfb a sixth floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,24
clg sig,eq a cs fl ac | unit percent | kind analog,coolingValveFb,coolingValve,23
nci max flow,eq ncfb c fourth floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
nci max flow,eq ncfb c seventh floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
bypass damper,eq s | unit percent | kind analog,faceBypassDamper,bypassDamper,23
nci max flow,eq ncfb a second floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
nci max flow,eq ncfb c eighth floor c c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
nci max flow,eq ncfb c fifth floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
cfm stpt min,eq v floor vav | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,23
cfm stpt max,eq v floor vav | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
nci max flow,eq ncfb a fourth floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
inlet dmp cmd,eq vav rh | unit percent | kind analog,intakeDamper,dischargeDamper,23
nci max flow,eq ncfb b eighth floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
nci max flow,eq ncfb c sixth floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,23
vlv pos,eq t us acb a | unit percent | kind analog,waterValveFb,heatingValveFb,22
nci max flow,eq ncfb a seventh floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,22
vlv comd,eq t us acb a | unit percent | kind analog,waterValve,heatingValve,22
rhc vlv cmd,eq f2 outputs | unit percent | kind analog,heatingValve,reHeatingValve,22
nci max flow,eq ncfb c eighth floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,22
heat cool,eq t us acb | unit cool | kind binary,heatingEnable,hvacMode,22
heat cool,eq t us acb a | unit cool | kind binary,heatingEnable,hvacMode,21
nci max flow,eq ncfb c third floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,21
heat cool,eq ahu vav | unit cool | kind binary,heatingEnable,hvacMode,21
heat cool,eq ahu vav | unit heat | kind binary,heatingEnable,hvacMode,21
clg flow max,eq t us fpvav | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,21
clg flow min,eq t us fpvav | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,21
nci max flow,eq ncfb a fifth floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,21
nci max flow,eq ncfb a third floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,21
nci max flow,eq ncfb a eight floor a c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,21
hd dmp pos,eq flr s sys vav | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,21
dmpr pos,eq dd b rm oa | unit percent | kind analog,outsideDamperFb,dischargeDamperFb,19
min flow sp,eq dd b rm oa | unit cfm | kind analog,outsideFlowMinSp,dischargeFlowMinSp,19
dmpr cmd,eq dd b rm oa | unit percent | kind analog,outsideDamper,dischargeDamper,19
act fl sp,eq dd b rm oa | unit cfm | kind analog,outsideFlowSp,dischargeFlowSp,19
damper position,eq va vs cc vav cc | unit percent | kind analog,dischargeDamper,dischargeDamperFb,19
occ cmd,eq mechanical | unit occupied | kind analog,occupancyModeOvr,occupancyMode,19
vav clg dmd,unit percent | kind analog,coolingValve,coolingDemand,19
max flow sp,eq dd b rm oa | unit cfm | kind analog,outsideFlowMaxSp,dischargeFlowMaxSp,19
co2,eq t us fpvav | unit ppm | kind analog,zoneCO2,returnCO2,19
nci min flow,eq iz vav s vav | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,19
nci min flow,eq va vs cc vav cc | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,19
heat cool,eq t us fpvav | unit heat | kind binary,heatingEnable,hvacMode,19
act fl,eq dd b rm oa | unit cfm | kind analog,outsideFlow,dischargeFlow,19
occ clg sp,eq flr e terms ft | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,19
nci max flow,eq ncfb c second floor c i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,18
vlv comd,eq t us acbb acbb | unit percent | kind analog,waterValve,heatingValve,18
rhc vlv cmd,eq v1 outputs | unit percent | kind analog,heatingValve,reHeatingValve,18
rhc vlv cmd,eq fp cv vav | unit percent | kind analog,heatingValve,reHeatingValve,18
cfm stpt max,eq v floor fpb | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,18
vlv pos,eq t us acbb acbb | unit percent | kind analog,waterValveFb,heatingValveFb,18
cfm stpt min,eq v floor fpb | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,18
cfm stpt max,eq v floor n vav | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,17
out,eq fp cv vav multiply | unit percent | kind analog,dischargeDamperFb,zoneTemp,17
cfm stpt min,eq v floor n vav | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,17
nci max flow,eq ncfb b second floor b i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,17
zn t,eq dole ahu | unit degf | kind analog,zoneTempAvg,zoneTemp,16
out,eq hvac econo damper | unit percent | kind analog,outsideDamper,zoneTemp,16
clg tmp,eq ahu ahu | unit degf | kind analog,coolingCoilDischargeTemp,coolingCoilLeavingTemp,16
damper position,eq secret service va vs ssvav | unit percent | kind analog,dischargeDamper,dischargeDamperFb,16
hd dmp pos,eq flr n vave | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,16
cd dmp pos,eq flr n vave | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,16
eff clg sp,eq ahu | unit degf | kind analog,occupiedCoolSp,zoneCoolSp,15
out,eq ef vav multiply | unit percent | kind analog,dischargeDamperFb,zoneTemp,15
chws tmp,eq ahu | unit degf | kind analog,priLeavingTemp,secLeavingTemp,15
htg vlv pos,eq bjb a vs | unit percent | kind analog,heatingValveFb,heatingValve,15
hwv comd,eq ahu vav frd | unit percent | kind analog,radiantHeatingValve,heatingValve,14
hwv pos,eq ahu vav frd | unit percent | kind analog,radiantHeatingValveFb,heatingValveFb,14
nci max flow,eq ncfb b second floor b c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,14
rhc vlv cmd,eq fg outputs | unit percent | kind analog,heatingValve,reHeatingValve,14
occ clg sp,eq flr lw terms rm bw | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,14
out,eq hvac nvo ra temp | unit degf | kind analog,returnTemp,zoneTemp,14
hwr tmp,eq ahu | unit degf | kind analog,priEnteringTemp,secEnteringTemp,14
out,eq hvac ra damper | unit percent | kind analog,returnDamper,zoneTemp,14
occ cmd sts,eq flr lw terms rm bw | unit occupied | kind analog,occupancyMode,occupancyStatus,14
heat stage,eq ahu vav dd | unit off | kind binary,exhaustTemp,heatingStage,13
heat cool,eq ahu vav frd | unit heat | kind binary,heatingEnable,hvacMode,13
hc vlv pos,eq ahu | unit percent | kind analog,heatingValveFb,heatingValve,13
out,eq vav sa tmp | unit degf | kind analog,dischargeTemp,zoneTemp,13
nci max flow,eq ncfb b service level b sl c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,13
valve cmd,eq v floor vav | unit percent | kind analog,perimeterHeatingValve,heatingValve,13
out,eq hvac min oa damper | unit percent | kind analog,minOutsideDamper,zoneTemp,12
heat,eq vav | unit percent | kind analog,perimeterValve,heatingStage,12
max cl vol sp,eq basement vav be | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,12
min cl vol sp,eq basement vav be | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,12
out,eq ahu sf sts | unit running | kind binary,dischargeFanStatus,zoneTemp,12
min ht vol sp,eq basement vav be | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowHeatMinSp,12
min flow sp,eq vav | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,12
htg cmd,eq flr lw terms ft lw | unit off | kind binary,heatingDemand,heatingStage,12
occ clg sp,eq flr lw terms ft lw | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,12
occ cmd sts,eq flr lw terms ft lw | unit occupied | kind analog,occupancyMode,occupancyStatus,12
damper pos,eq ddva vs dds | unit percent | kind analog,coldDeckDamper,dischargeDamper,12
dmp pos,eq basement vav be | unit percent | kind analog,damper,dischargeDamper,12
heat cool,eq vav | unit heat | kind binary,heatingEnable,hvacMode,12
sf high cmd,eq ptac n outs | unit stop | kind binary,dischargeFanSpeedStage,dischargeFanSpeedMaxSp,12
zn t sp htg,eq th flr fv b2 | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,11
cd dmp pos,eq flr n vav | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,11
zn t sp clg,eq th flr fv b2 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,11
zn t sp clg,eq th flr fv b1 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,11
out,eq nci unocc heat sp | unit degf | kind analog,unoccupiedHeatSp,zoneTemp,11
effclg sp,eq vav | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,11
min ht vol sp,eq court th floor | unit cfm | kind analog,hotDeckDischargeFlowMinSp,dischargeFlowHeatMinSp,11
min oa dpr pos,eq ahu p | unit percent | kind analog,minOutsideDamper,outsideDamperMinSp,11
hd dmp pos,eq flr n vav | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,11
max cl vol sp,eq court th floor | unit cfm | kind analog,coldDeckDischargeFlowMaxSp,dischargeFlowCoolMaxSp,11
cdsa tmp,eq flr n ahus | unit degf | kind analog,dischargeTemp,coldDeckDischargeTemp,11
cdsa tmp sp,eq flr n ahus | unit degf | kind analog,dischargeTempSp,coldDeckDischargeTempSp,11
effhtg sp,eq vav | unit degf | kind analog,zoneHeatSp,occupiedHeatSp,11
out,eq nci occ heat sp | unit degf | kind analog,occupiedHeatSp,zoneTemp,11
out,eq nci occ cool sp | unit degf | kind analog,occupiedCoolSp,zoneTemp,11
out,eq nci unocc cool sp | unit degf | kind analog,unoccupiedCoolSp,zoneTemp,11
dmp cmd,eq vav | unit percent | kind analog,intakeDamper,dischargeDamper,11
d,eq th flr fv b2 | unit percent | kind analog,dischargeDamper,damper,11
sf spd,eq ahu p | unit percent | kind analog,dischargeFanSpeedFb,dischargeFanSpeed,11
speed cmd,eq s sf vfd | unit percent | kind analog,dischargeFanSpeed,returnFanSpeed,11
d,eq th flr fv b1 | unit percent | kind analog,dischargeDamper,damper,11
zn t sp htg,eq th flr fv b1 | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,11
min cl vol sp,eq court th floor | unit cfm | kind analog,coldDeckDischargeFlowMinSp,dischargeFlowCoolMinSp,11
heat cool,eq t us acbb acbb | unit heat | kind binary,heatingEnable,hvacMode,10
sa dmp pos,eq flr e terms ft | unit percent | kind analog,dischargeDamper,damper,10
zn t sp htg,eq th flr fv a2 | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,10
htg vlv pos,eq bab a vs | unit percent | kind analog,heatingValveFb,heatingValve,10
hw vlv pos,eq ahu cav | unit percent | kind analog,heatingValveFb,heatingValve,10
rhc vlv cmd,eq v2 outputs | unit percent | kind analog,heatingValve,reHeatingValve,10
d,eq th flr fv a2 | unit percent | kind analog,dischargeDamper,damper,10
eff htg sp,eq ac ddvav up | unit degf | kind analog,occupiedHeatSp,zoneHeatSp,10
eff rm tmp clg sp,eq ac vav eff rm tmp sp | unit degf | kind analog,occupiedCoolSp,zoneCoolSp,10
eff rm tmp htg sp,eq ac vav eff rm tmp sp | unit degf | kind analog,occupiedHeatSp,zoneHeatSp,10
effclg sp,eq fpb | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,10
eff clg sp,eq ac ddvav up | unit degf | kind analog,occupiedCoolSp,zoneCoolSp,10
out,eq hvac heat valve | unit percent | kind analog,heatingValve,zoneTemp,10
inlet dmp pos,eq ac vav ins | unit percent | kind analog,dischargeDamperFb,dischargeDamper,10
zn t sp clg,eq th flr fv a2 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,10
occ cmd sts,eq flr e terms ft | unit occupied | kind analog,occupancyMode,occupancyStatus,10
d,eq th flr fv a1 | unit percent | kind analog,dischargeDamper,damper,9
nci min flow,eq va vs g vav g | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,9
oa dmp pos,eq level ahu | unit percent | kind analog,outsideDamperFb,outsideDamper,9
damper pos,eq ddva vs ddb | unit percent | kind analog,coldDeckDamper,dischargeDamper,9
heat cool,eq t us acb | unit heat | kind binary,heatingEnable,hvacMode,9
rhc vlv cmd,eq f6 sw outputs | unit percent | kind analog,heatingValve,reHeatingValve,9
hum cmd,eq ecb oahu | unit percent | kind analog,humidifierValve,humidifier,9
min cl vol sp,eq flr west vav west | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,9
cdsa tmp sp,eq flr s ahus | unit degf | kind analog,dischargeTempSp,coldDeckDischargeTempSp,9
out,eq fp vav multiply | kind analog,dischargeDamperFb,zoneTemp,9
dmp pos,eq flr west vav west | unit percent | kind analog,damper,dischargeDamper,9
damper position,eq va vs g vav g | unit percent | kind analog,dischargeDamper,dischargeDamperFb,9
chw vlv sig,eq ahu | unit percent | kind analog,coolingValveFb,coolingValve,9
min ht vol sp,eq flr west vav west | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowHeatMinSp,9
occ clg sp,eq flr e terms rm | unit degf | kind analog,zoneCoolSp,occupiedCoolSp,9
zn t sp htg,eq th flr fv a1 | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,9
rhc vlv cmd,eq vb | unit percent | kind analog,heatingValve,reHeatingValve,9
oaf cmd,eq ecb oahu | unit on | kind binary,dischargeFan,outsideFan,9
current damper position,eq nw data | unit percent | kind analog,dischargeDamperFb,damperFb,9
oaf sts,eq ecb oahu | unit on | kind binary,dischargeFanStatus,outsideFanStatus,9
max cl vol sp,eq flr west vav west | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,9
cdsa tmp,eq flr s ahus | unit degf | kind analog,dischargeTemp,coldDeckDischargeTemp,9
